run_id,run_name,group,method,target,seed,step,metric,value
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,55000,w2,0.8790690898895264
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,60000,w2,0.8767196536064148
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,65000,w2,0.8325262069702148
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,70000,w2,0.8043705821037292
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,75000,w2,0.81070476770401
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,80000,w2,0.8142552971839905
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,85000,w2,0.819722592830658
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,90000,w2,0.8269584774971008
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,95000,w2,0.7986220717430115
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,100000,w2,0.8424329161643982
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,5000,elbo,-76.93001556396484
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,10000,elbo,-501.1110534667969
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,15000,elbo,-17.505762100219727
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,20000,elbo,-224.46080017089844
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,25000,elbo,-4.296835899353027
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,30000,elbo,-0.51258784532547
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,35000,elbo,-0.4936175048351288
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,40000,elbo,-0.3366757929325104
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,45000,elbo,-0.2629511058330536
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,50000,elbo,-0.22174863517284393
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,55000,elbo,-0.19601698219776154
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,60000,elbo,-0.18679364025592804
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,65000,elbo,-0.1536024957895279
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,70000,elbo,-0.16584931313991547
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,75000,elbo,-0.15022458136081696
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,80000,elbo,-0.15081745386123657
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,85000,elbo,-0.14920373260974884
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,90000,elbo,-0.1472080647945404
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,95000,elbo,-0.14724695682525635
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,100000,elbo,-0.15383212268352509
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,5000,kl_ite,2.264231438576274
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,10000,kl_ite,2.249415631530368
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,15000,kl_ite,2.2692881105710474
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,20000,kl_ite,2.2538468337747943
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,25000,kl_ite,2.3060563247067845
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,30000,kl_ite,2.3187944964030924
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,35000,kl_ite,2.2375118712025635
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,40000,kl_ite,0.22812151188942095
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,45000,kl_ite,0.22772629999329527
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,50000,kl_ite,0.27801722266658524
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,55000,kl_ite,0.22102040069441148
