run_id,run_name,group,method,target,seed,metric,value
enn13lk0,DSIVI-multimodal-seed1,DSIVI-multimodal,DSIVI,multimodal,1,elbo,-0.0006929760565981269
mmb6c7p8,DSIVI-multimodal-seed7,DSIVI-multimodal,DSIVI,multimodal,7,kl_ite,-0.013615922510722276
mmb6c7p8,DSIVI-multimodal-seed7,DSIVI-multimodal,DSIVI,multimodal,7,w2,0.02927192859351635
mmb6c7p8,DSIVI-multimodal-seed7,DSIVI-multimodal,DSIVI,multimodal,7,elbo,-0.0008974738884717226
79bjqhuk,DSIVI-multimodal-seed42,DSIVI-multimodal,DSIVI,multimodal,42,kl_ite,-0.010226299727688829
79bjqhuk,DSIVI-multimodal-seed42,DSIVI-multimodal,DSIVI,multimodal,42,w2,0.02601100318133831
79bjqhuk,DSIVI-multimodal-seed42,DSIVI-multimodal,DSIVI,multimodal,42,elbo,-0.0008541629649698734
znwoo7lc,DSIVI-multimodal-seed43,DSIVI-multimodal,DSIVI,multimodal,43,kl_ite,0.0043659533778312
znwoo7lc,DSIVI-multimodal-seed43,DSIVI-multimodal,DSIVI,multimodal,43,w2,0.04416459798812866
znwoo7lc,DSIVI-multimodal-seed43,DSIVI-multimodal,DSIVI,multimodal,43,elbo,-0.0010630072792991996
mt0760j2,KDVI-8_gaussians-seed0,KDVI-8_gaussians,KDVI,8_gaussians,0,kl_ite,0.0442969789241557
mt0760j2,KDVI-8_gaussians-seed0,KDVI-8_gaussians,KDVI,8_gaussians,0,w2,0.16868676245212555
mt0760j2,KDVI-8_gaussians-seed0,KDVI-8_gaussians,KDVI,8_gaussians,0,elbo,-0.2515198290348053
lhgqgta3,KDVI-8_gaussians-seed1,KDVI-8_gaussians,KDVI,8_gaussians,1,kl_ite,0.07326975616963786
lhgqgta3,KDVI-8_gaussians-seed1,KDVI-8_gaussians,KDVI,8_gaussians,1,w2,0.11701661348342896
lhgqgta3,KDVI-8_gaussians-seed1,KDVI-8_gaussians,KDVI,8_gaussians,1,elbo,-0.2622763216495514
vs0maav6,KDVI-8_gaussians-seed7,KDVI-8_gaussians,KDVI,8_gaussians,7,kl_ite,0.0951052998637751
vs0maav6,KDVI-8_gaussians-seed7,KDVI-8_gaussians,KDVI,8_gaussians,7,w2,0.17439299821853638
vs0maav6,KDVI-8_gaussians-seed7,KDVI-8_gaussians,KDVI,8_gaussians,7,elbo,-0.27650967240333557
tp9in47g,KDVI-8_gaussians-seed42,KDVI-8_gaussians,KDVI,8_gaussians,42,kl_ite,0.06561581200955162
tp9in47g,KDVI-8_gaussians-seed42,KDVI-8_gaussians,KDVI,8_gaussians,42,w2,0.10038947314023972
tp9in47g,KDVI-8_gaussians-seed42,KDVI-8_gaussians,KDVI,8_gaussians,42,elbo,-0.25315016508102417
q8mqkmx2,KDVI-8_gaussians-seed43,KDVI-8_gaussians,KDVI,8_gaussians,43,kl_ite,0.07530897347016934
q8mqkmx2,KDVI-8_gaussians-seed43,KDVI-8_gaussians,KDVI,8_gaussians,43,w2,0.08463350683450699
q8mqkmx2,KDVI-8_gaussians-seed43,KDVI-8_gaussians,KDVI,8_gaussians,43,elbo,-0.27269062399864197
4p2q9xe7,DSIVI-8_gaussians-seed0,DSIVI-8_gaussians,DSIVI,8_gaussians,0,kl_ite,0.2207347585487133
4p2q9xe7,DSIVI-8_gaussians-seed0,DSIVI-8_gaussians,DSIVI,8_gaussians,0,w2,0.328226774930954
4p2q9xe7,DSIVI-8_gaussians-seed0,DSIVI-8_gaussians,DSIVI,8_gaussians,0,elbo,-0.40820473432540894
2p748xpu,DSIVI-8_gaussians-seed1,DSIVI-8_gaussians,DSIVI,8_gaussians,1,kl_ite,0.06758735147923849
2p748xpu,DSIVI-8_gaussians-seed1,DSIVI-8_gaussians,DSIVI,8_gaussians,1,w2,0.1443471759557724
2p748xpu,DSIVI-8_gaussians-seed1,DSIVI-8_gaussians,DSIVI,8_gaussians,1,elbo,-0.15119223296642303
m85kt5g9,DSIVI-8_gaussians-seed7,DSIVI-8_gaussians,DSIVI,8_gaussians,7,kl_ite,0.1006320002404807
m85kt5g9,DSIVI-8_gaussians-seed7,DSIVI-8_gaussians,DSIVI,8_gaussians,7,w2,0.24687683582305908
m85kt5g9,DSIVI-8_gaussians-seed7,DSIVI-8_gaussians,DSIVI,8_gaussians,7,elbo,-0.14859499037265778
8anqdcsl,DSIVI-8_gaussians-seed42,DSIVI-8_gaussians,DSIVI,8_gaussians,42,kl_ite,0.09638690011778624
8anqdcsl,DSIVI-8_gaussians-seed42,DSIVI-8_gaussians,DSIVI,8_gaussians,42,w2,0.10081671178340912
8anqdcsl,DSIVI-8_gaussians-seed42,DSIVI-8_gaussians,DSIVI,8_gaussians,42,elbo,-0.13534267246723175
mizocnql,DSIVI-8_gaussians-seed43,DSIVI-8_gaussians,DSIVI,8_gaussians,43,kl_ite,0.05749113821632139
mizocnql,DSIVI-8_gaussians-seed43,DSIVI-8_gaussians,DSIVI,8_gaussians,43,w2,0.09667421877384186
mizocnql,DSIVI-8_gaussians-seed43,DSIVI-8_gaussians,DSIVI,8_gaussians,43,elbo,-0.10841354727745056
lffcnj4f,KDVI-8_gaussians_small-seed0,KDVI-8_gaussians_small,KDVI,8_gaussians_small,0,kl_ite,2.9647402098042748
lffcnj4f,KDVI-8_gaussians_small-seed0,KDVI-8_gaussians_small,KDVI,8_gaussians_small,0,w2,0.30214375257492065
lffcnj4f,KDVI-8_gaussians_small-seed0,KDVI-8_gaussians_small,KDVI,8_gaussians_small,0,elbo,-18.63218688964844
nhb1oct1,KDVI-8_gaussians_small-seed1,KDVI-8_gaussians_small,KDVI,8_gaussians_small,1,kl_ite,2.9705658244066364
nhb1oct1,KDVI-8_gaussians_small-seed1,KDVI-8_gaussians_small,KDVI,8_gaussians_small,1,w2,0.3100678026676178
nhb1oct1,KDVI-8_gaussians_small-seed1,KDVI-8_gaussians_small,KDVI,8_gaussians_small,1,elbo,-17.81528663635254
04jx4y9t,KDVI-8_gaussians_small-seed7,KDVI-8_gaussians_small,KDVI,8_gaussians_small,7,kl_ite,2.9533260591494273
04jx4y9t,KDVI-8_gaussians_small-seed7,KDVI-8_gaussians_small,KDVI,8_gaussians_small,7,w2,0.30129626393318176
04jx4y9t,KDVI-8_gaussians_small-seed7,KDVI-8_gaussians_small,KDVI,8_gaussians_small,7,elbo,-17.688358306884766
vs1j9qyr,KDVI-8_gaussians_small-seed42,KDVI-8_gaussians_small,KDVI,8_gaussians_small,42,kl_ite,2.963343501759286
vs1j9qyr,KDVI-8_gaussians_small-seed42,KDVI-8_gaussians_small,KDVI,8_gaussians_small,42,w2,0.30776676535606384
