epoch,method,method_l2_mean,method_l2_sd,method_n_failed,method_n_valid,method_relative_l2_mean,method_relative_l2_sd,method_runtime_sec_mean,method_target_l2_mean,method_target_l2_sd,n_seeds,progress,reference_internal_l2_mean,reference_internal_l2_sd,reference_mean_mcse_l2_mean,reference_mean_mcse_l2_sd,reference_quality_n_pass,reference_quality_n_warning,reference_runtime_sec_mean,reference_target_l2_mean,reference_target_l2_sd,target
6000,UIVI,1.994133289722587,0.34877160322875495,0,5,0.7386445653156347,0.17804646908767904,0.248008593916893,13.355064790968376,0.2585442578841206,5,0.6,0.00796907612365207,0.006805133426285079,0.0004194250591395826,0.00035816491717289894,5,0,556.0989731624722,11.20946458857549,0.15677365684885508,8_gaussians
8000,UIVI,2.0773099454880164,0.523016799685815,0,5,0.745785044376116,0.19264573185122688,0.28631223142147066,13.02353455592484,0.6065139886496894,5,0.8,0.008752281500238393,0.009483535701184506,0.00046064639474938915,0.0004991334579570793,5,0,545.0300657078624,10.910813114607802,0.6467121956580251,8_gaussians
10000,UIVI,2.0322230615686414,0.6067566735239945,0,5,0.7288542275140051,0.20435711043978994,0.2546165481209755,12.395016311692197,0.601378860024824,5,1.0,0.007835066318601225,0.00889146241594695,0.00041237191150532757,0.00046797170610247106,5,0,534.9206264689565,10.829243364172251,0.3247556222117013,8_gaussians
2000,AISIVI,1716.9947385843839,3753.3843743425145,0,5,1131.4825686223396,2480.9023114009697,0.1981016904115677,1704.8456287472866,3716.35068325182,5,0.2,1.6262670090563862,1.1971273607978898,0.0855930004766519,0.06300670319988894,5,0,564.9301729947329,19.547165551363523,32.50556268199827,x_shaped
4000,AISIVI,280.4060408450065,360.2909730108877,0,5,91.94949217566537,119.15699677424656,0.15328589975833892,282.64695732641286,362.16617269350604,5,0.4,2.5928865386828823,3.572718965065787,0.13646771256225695,0.18803784026662038,5,0,579.0020622164011,1.6433589438463065,1.0137432464582707,x_shaped
6000,AISIVI,579.5788802785357,958.8685279740967,0,5,155.0615280160187,258.3877655574186,0.15831521898508072,581.0712300017092,961.3270483067821,5,0.6,1.6143198490125372,1.2201116004822128,0.08496420257960721,0.06421640002537964,5,0,571.3216669008136,0.9066558348289073,0.7266658340292665,x_shaped
8000,AISIVI,100.1616302672505,62.24202242976689,0,5,26.53088268027401,16.34908971024301,0.15926001518964766,100.47565762110753,62.39453623683135,5,0.8,1.0568605874019785,0.7287303423627572,0.055624241442209385,0.03835422854540828,4,1,575.2855205625295,0.7523106876347577,0.5576603591224776,x_shaped
10000,AISIVI,87.67436761954778,84.64474435478735,0,5,23.14565122160156,21.333203936795112,0.1596726506948471,88.3814923358085,86.78447603061863,5,1.0,1.3077838242851292,0.8779325137870054,0.06883072759395416,0.04620697440984239,4,1,572.4405403584242,0.8828114319672722,0.6838604493496097,x_shaped
2000,DSIVI,0.8990443568469052,0.9079318392865364,0,5,0.2814103897013925,0.18216100539337388,0.0006395667791366577,3.6939603403498147,0.4481282128650404,5,0.2,1.2115215429719404,0.8544160597602473,0.06376429173536528,0.044969266303170906,5,0,560.8956490680575,4.000406289610896,1.3176740312227015,x_shaped
4000,DSIVI,0.8020579832079247,0.8672220357284844,0,5,0.16252905133679113,0.15631295436183734,0.0005061477422714233,0.41110200557099164,0.10895161966905863,5,0.4,0.7345626164435652,0.733297411912689,0.03866119033913501,0.03859460062698364,5,0,553.9278881773353,0.8796276293222676,0.8137385798193242,x_shaped
