target,seed,epoch,d_z,d_phi,n_samples,mean_sq_spectral_mu,mean_sq_spectral_std,M_eps,std_err_mu,std_err_std,max_spectral_mu,max_spectral_std,run_id,duration_sec
x_shaped,43,3000,2,17412,1024,69.56768035888672,4.8301191329956055,69.56768035888672,1.9546027183532715,0.1586339771747589,19.427865982055664,6.960636138916016,seed43_dsivi_x_shaped,2.954
x_shaped,43,4000,2,17412,1024,52.69995880126953,3.6325020790100098,52.69995880126953,1.4588897228240967,0.1119195893406868,17.388887405395508,5.142548561096191,seed43_dsivi_x_shaped,2.994
x_shaped,43,5000,2,17412,1024,52.896400451660156,3.7009947299957275,52.896400451660156,1.478181004524231,0.11491800844669342,17.87711524963379,5.576414585113525,seed43_dsivi_x_shaped,2.997
x_shaped,43,6000,2,17412,1024,51.231388092041016,3.611433267593384,51.231388092041016,1.3718993663787842,0.11114642024040222,18.12277603149414,5.55118465423584,seed43_dsivi_x_shaped,3.013
x_shaped,43,7000,2,17412,1024,53.50206756591797,3.663316249847412,53.50206756591797,1.4117681980133057,0.10975559800863266,17.15436553955078,5.4826507568359375,seed43_dsivi_x_shaped,2.869
x_shaped,43,8000,2,17412,1024,48.995574951171875,3.4904136657714844,48.995574951171875,1.3182610273361206,0.10795899480581284,18.51197052001953,5.1773295402526855,seed43_dsivi_x_shaped,2.867
x_shaped,43,9000,2,17412,1024,52.03345489501953,3.662672519683838,52.03345489501953,1.3292649984359741,0.1023348867893219,17.91849708557129,5.651966571807861,seed43_dsivi_x_shaped,3.079
x_shaped,43,10000,2,17412,1024,52.28078842163086,3.794233798980713,52.28078842163086,1.441491961479187,0.11626128852367401,18.57252311706543,5.453237056732178,seed43_dsivi_x_shaped,3.052
x_shaped,44,1000,2,17412,1024,82.01681518554688,5.89024019241333,82.01681518554688,3.194378137588501,0.23029819130897522,31.427873611450195,8.21243667602539,seed44_dsivi_x_shaped,2.858
x_shaped,44,2000,2,17412,1024,75.15851593017578,6.099917888641357,75.15851593017578,2.2992115020751953,0.18321138620376587,26.247413635253906,6.535494327545166,seed44_dsivi_x_shaped,3.088
x_shaped,44,3000,2,17412,1024,70.54814147949219,5.220705509185791,70.54814147949219,2.0893054008483887,0.16010966897010803,23.691741943359375,5.52019739151001,seed44_dsivi_x_shaped,2.823
x_shaped,44,4000,2,17412,1024,61.363983154296875,4.198711395263672,61.363983154296875,1.7244374752044678,0.1203184574842453,23.084882736206055,5.710672855377197,seed44_dsivi_x_shaped,2.888
x_shaped,44,5000,2,17412,1024,57.08903503417969,3.6293606758117676,57.08903503417969,1.552675485610962,0.10166720300912857,20.67209243774414,5.157873153686523,seed44_dsivi_x_shaped,3.018
x_shaped,44,6000,2,17412,1024,55.10770797729492,3.5451834201812744,55.10770797729492,1.5671697854995728,0.10239208489656448,21.648136138916016,4.953808784484863,seed44_dsivi_x_shaped,3.239
x_shaped,44,7000,2,17412,1024,56.102577209472656,3.563148021697998,56.102577209472656,1.4393067359924316,0.09657705575227737,18.73536491394043,4.780895233154297,seed44_dsivi_x_shaped,3.374
x_shaped,44,8000,2,17412,1024,58.06068420410156,3.779677152633667,58.06068420410156,1.5262115001678467,0.10703939199447632,20.04082489013672,4.851358413696289,seed44_dsivi_x_shaped,3.273
x_shaped,44,9000,2,17412,1024,56.419944763183594,3.6682794094085693,56.419944763183594,1.4802522659301758,0.10403671115636826,17.16291618347168,4.6920342445373535,seed44_dsivi_x_shaped,3.349
x_shaped,44,10000,2,17412,1024,56.14501953125,3.6880970001220703,56.14501953125,1.512634515762329,0.10221482813358307,20.115629196166992,5.105870246887207,seed44_dsivi_x_shaped,3.299
x_shaped,45,1000,2,17412,1024,53.77220916748047,4.046469688415527,53.77220916748047,2.436229705810547,0.1365729719400406,26.356311798095703,6.082216262817383,seed45_dsivi_x_shaped,3.266
x_shaped,45,2000,2,17412,1024,76.81297302246094,4.828530311584473,76.81297302246094,2.8601393699645996,0.16389667987823486,31.274736404418945,7.950647354125977,seed45_dsivi_x_shaped,3.262
