checkpoint_dir,checkpoint_epoch,duration_sec,elbo,elbo_runtime_sec,errors,kde_elm,kde_elm_runtime_sec,method,nll,rmse,rmse_nll_runtime_sec,run_id,seed,summary_iterations,target,training_time_sec,w2,w2_edge_10,w2_edge_10_runtime_sec,w2_edge_5,w2_edge_5_runtime_sec,w2_edge_8,w2_edge_8_runtime_sec,w2_runtime_sec,w2_trunc_abs_6,w2_trunc_abs_6_runtime_sec,w2_trunc_abs_8,w2_trunc_abs_8_runtime_sec,wall_clock_sec
results/default_config_grid/DSIVI/Bnn_concrete/20260428_060004/checkpoints/epoch_10000,10000,126.86155918240547,,,{},,,DSIVI,3.2654290199279785,6.2641777992248535,0.006359010934829712,seed42_dsivi_bnn_concrete,42,10000.0,Bnn_concrete,110.65837860107422,,,,,,,,,,,,,126.86155918240547
results/default_config_grid/DSIVI/Bnn_power/20260428_060006/checkpoints/epoch_10000,10000,126.8554773144424,,,{},,,DSIVI,2.772550106048584,3.8372609615325928,0.007160734385251999,seed42_dsivi_bnn_power,42,10000.0,Bnn_power,110.41758728027344,,,,,,,,,,,,,126.8554773144424
results/default_config_grid/DSIVI/Bnn_protein/20260428_060045/checkpoints/epoch_10000,10000,136.8570246323943,,,{},,,DSIVI,2.9276442527770996,4.49528169631958,0.015050705522298813,seed42_dsivi_bnn_protein,42,10000.0,Bnn_protein,109.85504150390625,,,,,,,,,,,,,136.8570246323943
results/default_config_grid/DSIVI/Bnn_winered/20260501_145223/checkpoints/epoch_10000,10000,318.1995355859399,,,{},,,DSIVI,0.9365501403808594,0.6172118186950684,0.0025942139327526093,seed42_dsivi_bnn_winered,42,10000.0,Bnn_winered,114.42070007324219,,,,,,,,,,,,,318.1995355859399
results/default_config_grid/DSIVI/Bnn_yacht/20260501_145259/checkpoints/epoch_10000,10000,281.2721321582794,,,{},,,DSIVI,1.46010160446167,1.3063406944274902,0.0016969367861747742,seed42_dsivi_bnn_yacht,42,10000.0,Bnn_yacht,115.3349609375,,,,,,,,,,,,,281.2721321582794
results/default_config_grid/DSIVI/Langevin_post/20260429_220135/checkpoints/epoch_10000,10000,320.31660056859255,-195.08189392089844,2.4327054917812347,{},75.19657897949219,0.618363693356514,DSIVI,,,,seed42_dsivi_langevin_post,42,10000.0,Langevin_post,292.12518310546875,0.008720381185412407,,,,,,,0.05920948460698128,,,,,320.31660056859255
results/default_config_grid/DSIVI/multimodal/20260428_060433/checkpoints/epoch_10000,10000,189.85751369968057,0.00025659106904640794,1.583434585481882,{},,,DSIVI,,,,seed42_dsivi_multimodal,42,10000.0,multimodal,178.59512329101562,0.05808837711811066,,,,,,,0.03432975709438324,,,,,189.85751369968057
results/default_config_grid/DSIVI/student_uc/20260428_060434/checkpoints/epoch_10000,10000,189.86006826534867,-2.674004077911377,1.5122394561767578,{},,,DSIVI,,,,seed42_dsivi_student_uc,42,10000.0,student_uc,182.9849853515625,0.41169387102127075,0.15178073942661285,0.04922499507665634,0.0390460379421711,0.03525560349225998,0.08182801306247711,0.03526289388537407,0.04080080986022949,,,0.07117584347724915,0.05345512554049492,189.86006826534867
results/default_config_grid/DSIVI/x_shaped/20260428_060620/checkpoints/epoch_10000,10000,186.66985689103603,-0.0066490513272583485,1.4981858618557453,{},,,DSIVI,,,,seed42_dsivi_x_shaped,42,10000.0,x_shaped,179.11431884765625,0.0389169380068779,,,,,,,0.033729832619428635,,,,,186.66985689103603
results/default_config_grid/KSIVI/8_gaussians/20260428_060744/checkpoints/epoch_50000,50000,318.70825569704175,-0.6647197604179382,1.5189607851207256,{},,,KSIVI,,,,seed42_ksivi_8_gaussians,42,50000.0,8_gaussians,312.19854736328125,0.28182554244995117,,,,,,,0.03478546068072319,0.3154529631137848,0.03206442669034004,,,318.70825569704175
