target,seed,epoch,z_dim,n_samples,score_p_4th_moment,score_q_4th_moment,score_p_mean_norm,score_q_mean_norm,run_id,duration_sec
x_shaped,44,4000,2,10240,73.79222106933594,26.09754753112793,1.920076608657837,1.523222804069519,seed44_dsivi_x_shaped,0.006
x_shaped,44,5000,2,10240,44.377960205078125,38.46309280395508,1.704922080039978,1.6521425247192383,seed44_dsivi_x_shaped,0.006
x_shaped,44,6000,2,10240,46.921302795410156,35.2890510559082,1.7049144506454468,1.6000131368637085,seed44_dsivi_x_shaped,0.006
x_shaped,44,7000,2,10240,45.26223373413086,54.38582992553711,1.7016681432724,1.81767737865448,seed44_dsivi_x_shaped,0.008
x_shaped,44,8000,2,10240,42.4407844543457,35.60947036743164,1.7023346424102783,1.6802009344100952,seed44_dsivi_x_shaped,0.006
x_shaped,44,9000,2,10240,45.59428024291992,41.60414505004883,1.716692566871643,1.6721190214157104,seed44_dsivi_x_shaped,0.006
x_shaped,44,10000,2,10240,47.46669387817383,42.566951751708984,1.7110576629638672,1.76027512550354,seed44_dsivi_x_shaped,0.006
Langevin_post,45,1000,100,10240,7833573888.0,20547648.0,293.4901428222656,66.63636016845703,seed45_dsivi_langevin_post,0.014
Langevin_post,45,2000,100,10240,2679871232.0,62363164.0,224.4763641357422,87.97550201416016,seed45_dsivi_langevin_post,0.012
Langevin_post,45,3000,100,10240,1366634624.0,132211176.0,189.79396057128906,106.20637512207031,seed45_dsivi_langevin_post,0.014
Langevin_post,45,4000,100,10240,831566144.0,232039424.0,167.67892456054688,122.2720718383789,seed45_dsivi_langevin_post,0.012
Langevin_post,45,5000,100,10240,587561600.0,352591872.0,153.67564392089844,135.73472595214844,seed45_dsivi_langevin_post,0.012
Langevin_post,45,6000,100,10240,512012768.0,401171840.0,148.5568084716797,140.1788330078125,seed45_dsivi_langevin_post,0.012
Langevin_post,45,7000,100,10240,490459136.0,412070240.0,146.97215270996094,141.09695434570312,seed45_dsivi_langevin_post,0.014
Langevin_post,45,8000,100,10240,479237216.0,415572640.0,146.1100311279297,141.35891723632812,seed45_dsivi_langevin_post,0.017
Langevin_post,45,9000,100,10240,483079776.0,421617120.0,146.44920349121094,141.9017791748047,seed45_dsivi_langevin_post,0.012
