checkpoint_dir,checkpoint_epoch,duration_sec,elbo,elbo_runtime_sec,errors,method,run_id,seed,summary_iterations,target,training_time_sec,variant,w2,w2_runtime_sec,wall_clock_sec,warnings
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_011959/checkpoints/epoch_10000,10000,193.08496796153486,-0.009176794439554214,2.3444889076054096,{},DSIVI,seed43_dsivi_x_shaped_reverse_steps_2,43,10000.0,x_shaped,185.39779663085938,reverse_steps_2,0.0709289088845253,0.037069011479616165,193.08496796153486,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_012312/checkpoints/epoch_10000,10000,529.9510113410652,-0.0058761159889400005,2.3456577491015196,{},DSIVI,seed43_dsivi_x_shaped_reverse_steps_10,43,10000.0,x_shaped,522.8211059570312,reverse_steps_10,0.0424652136862278,0.0381355918943882,529.9510113410652,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_013202/checkpoints/epoch_10000,10000,309.3188734408468,-0.007489750161767006,2.2906755320727825,{},DSIVI,seed43_dsivi_x_shaped_reverse_batch_512,43,10000.0,x_shaped,303.0339660644531,reverse_batch_512,0.05402177572250366,0.03683299198746681,309.3188734408468,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_013711/checkpoints/epoch_10000,10000,297.3487344123423,-0.011944349855184555,2.348242610692978,{},DSIVI,seed43_dsivi_x_shaped_reverse_batch_1024,43,10000.0,x_shaped,290.9349670410156,reverse_batch_1024,0.0771867036819458,0.0847595501691103,297.3487344123423,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_014209/checkpoints/epoch_10000,10000,313.46940375864506,-0.0033831256441771984,2.3567378632724285,{},DSIVI,seed43_dsivi_x_shaped_reverse_batch_4096,43,10000.0,x_shaped,306.3872985839844,reverse_batch_4096,0.05053170025348663,0.03658684156835079,313.46940375864506,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_014722/checkpoints/epoch_10000,10000,319.6320697199553,-0.004978767596185207,2.351707013323903,{},DSIVI,seed43_dsivi_x_shaped_reverse_batch_8192,43,10000.0,x_shaped,311.5225524902344,reverse_batch_8192,0.05778440460562706,0.03699406981468201,319.6320697199553,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_015242/checkpoints/epoch_10000,10000,319.60174414515495,-0.0119151147082448,2.353186583146453,{},DSIVI,seed44_dsivi_x_shaped_baseline,44,10000.0,x_shaped,313.2788391113281,baseline,0.11933812499046326,0.03666149824857712,319.60174414515495,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_015802/checkpoints/epoch_10000,10000,151.06688005290926,-0.25418004393577576,2.3546510115265846,{},DSIVI,seed44_dsivi_x_shaped_reverse_steps_1,44,10000.0,x_shaped,143.43052673339844,reverse_steps_1,0.42061635851860046,0.03643347881734371,151.06688005290926,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_020033/checkpoints/epoch_10000,10000,201.16660605929792,-0.007333128247410059,2.356250202283263,{},DSIVI,seed44_dsivi_x_shaped_reverse_steps_2,44,10000.0,x_shaped,193.179931640625,reverse_steps_2,0.07435494661331177,0.03654256463050842,201.16660605929792,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_020354/checkpoints/epoch_10000,10000,524.4056156147271,-0.008620199747383595,2.355656722560525,{},DSIVI,seed44_dsivi_x_shaped_reverse_steps_10,44,10000.0,x_shaped,516.8666381835938,reverse_steps_10,0.04671522229909897,0.036903951317071915,524.4056156147271,{}
