run_id,run_name,group,method,target,seed,metric,value
ns7ri3wr,KDVI-x_shaped-seed48,KDVI-x_shaped,KDVI,x_shaped,48,kl_ite,0.21250723149546055
ns7ri3wr,KDVI-x_shaped-seed48,KDVI-x_shaped,KDVI,x_shaped,48,w2,0.19015370309352875
ns7ri3wr,KDVI-x_shaped-seed48,KDVI-x_shaped,KDVI,x_shaped,48,elbo,-0.35599303245544434
lrijtfiz,DSIVI-x_shaped-seed0,DSIVI-x_shaped,DSIVI,x_shaped,0,kl_ite,-0.004057051984803877
lrijtfiz,DSIVI-x_shaped-seed0,DSIVI-x_shaped,DSIVI,x_shaped,0,w2,0.09044128656387328
lrijtfiz,DSIVI-x_shaped-seed0,DSIVI-x_shaped,DSIVI,x_shaped,0,elbo,-0.0378246009349823
xjan3nog,DSIVI-x_shaped-seed1,DSIVI-x_shaped,DSIVI,x_shaped,1,kl_ite,0.016198814808927674
xjan3nog,DSIVI-x_shaped-seed1,DSIVI-x_shaped,DSIVI,x_shaped,1,w2,0.09721140563488008
xjan3nog,DSIVI-x_shaped-seed1,DSIVI-x_shaped,DSIVI,x_shaped,1,elbo,-0.0376439206302166
t1gb6gyv,DSIVI-x_shaped-seed7,DSIVI-x_shaped,DSIVI,x_shaped,7,kl_ite,-0.01047822490322584
t1gb6gyv,DSIVI-x_shaped-seed7,DSIVI-x_shaped,DSIVI,x_shaped,7,w2,0.0437474325299263
t1gb6gyv,DSIVI-x_shaped-seed7,DSIVI-x_shaped,DSIVI,x_shaped,7,elbo,-0.014837060123682022
dkqo3xed,DSIVI-x_shaped-seed42,DSIVI-x_shaped,DSIVI,x_shaped,42,kl_ite,-0.00915713674322183
dkqo3xed,DSIVI-x_shaped-seed42,DSIVI-x_shaped,DSIVI,x_shaped,42,w2,0.0371854268014431
dkqo3xed,DSIVI-x_shaped-seed42,DSIVI-x_shaped,DSIVI,x_shaped,42,elbo,-0.021196769550442696
kr4vndbu,DSIVI-x_shaped-seed43,DSIVI-x_shaped,DSIVI,x_shaped,43,kl_ite,-0.005743112460861652
kr4vndbu,DSIVI-x_shaped-seed43,DSIVI-x_shaped,DSIVI,x_shaped,43,w2,0.1003481149673462
kr4vndbu,DSIVI-x_shaped-seed43,DSIVI-x_shaped,DSIVI,x_shaped,43,elbo,-0.0217685978859663
6zj8zmd9,DSIVI-x_shaped-seed44,DSIVI-x_shaped,DSIVI,x_shaped,44,kl_ite,0.003187880949804492
6zj8zmd9,DSIVI-x_shaped-seed44,DSIVI-x_shaped,DSIVI,x_shaped,44,w2,0.0947212055325508
6zj8zmd9,DSIVI-x_shaped-seed44,DSIVI-x_shaped,DSIVI,x_shaped,44,elbo,-0.03811436891555786
4ajyeb4x,DSIVI-x_shaped-seed45,DSIVI-x_shaped,DSIVI,x_shaped,45,kl_ite,-0.011573190266122992
4ajyeb4x,DSIVI-x_shaped-seed45,DSIVI-x_shaped,DSIVI,x_shaped,45,w2,0.05173276737332344
4ajyeb4x,DSIVI-x_shaped-seed45,DSIVI-x_shaped,DSIVI,x_shaped,45,elbo,-0.016664400696754456
3fbpflm1,DSIVI-x_shaped-seed46,DSIVI-x_shaped,DSIVI,x_shaped,46,kl_ite,0.0033918274268341813
3fbpflm1,DSIVI-x_shaped-seed46,DSIVI-x_shaped,DSIVI,x_shaped,46,w2,0.06943271309137344
3fbpflm1,DSIVI-x_shaped-seed46,DSIVI-x_shaped,DSIVI,x_shaped,46,elbo,-0.029605619609355927
5kxm2tm4,DSIVI-x_shaped-seed47,DSIVI-x_shaped,DSIVI,x_shaped,47,kl_ite,0.013384666236483728
5kxm2tm4,DSIVI-x_shaped-seed47,DSIVI-x_shaped,DSIVI,x_shaped,47,w2,0.10596691071987152
5kxm2tm4,DSIVI-x_shaped-seed47,DSIVI-x_shaped,DSIVI,x_shaped,47,elbo,-0.03610736131668091
egjb10pu,DSIVI-x_shaped-seed48,DSIVI-x_shaped,DSIVI,x_shaped,48,kl_ite,0.0020461706806926727
egjb10pu,DSIVI-x_shaped-seed48,DSIVI-x_shaped,DSIVI,x_shaped,48,w2,0.03473297506570816
egjb10pu,DSIVI-x_shaped-seed48,DSIVI-x_shaped,DSIVI,x_shaped,48,elbo,-0.01773931458592415
k4f4hgai,KDVI-multimodal-seed0,KDVI-multimodal,KDVI,multimodal,0,kl_ite,0.006847441380907661
k4f4hgai,KDVI-multimodal-seed0,KDVI-multimodal,KDVI,multimodal,0,w2,0.02738819643855095
k4f4hgai,KDVI-multimodal-seed0,KDVI-multimodal,KDVI,multimodal,0,elbo,-0.006911986507475376
vrohunjo,KDVI-multimodal-seed1,KDVI-multimodal,KDVI,multimodal,1,kl_ite,0.005001293603198085
vrohunjo,KDVI-multimodal-seed1,KDVI-multimodal,KDVI,multimodal,1,w2,0.05443291738629341
vrohunjo,KDVI-multimodal-seed1,KDVI-multimodal,KDVI,multimodal,1,elbo,-0.006219083443284035
t74vtvja,KDVI-multimodal-seed7,KDVI-multimodal,KDVI,multimodal,7,kl_ite,-0.009722941224699747
t74vtvja,KDVI-multimodal-seed7,KDVI-multimodal,KDVI,multimodal,7,w2,0.03013463504612446
t74vtvja,KDVI-multimodal-seed7,KDVI-multimodal,KDVI,multimodal,7,elbo,-0.007838889956474304
yjxc1snr,KDVI-multimodal-seed42,KDVI-multimodal,KDVI,multimodal,42,kl_ite,0.005587073964795002
yjxc1snr,KDVI-multimodal-seed42,KDVI-multimodal,KDVI,multimodal,42,w2,0.026271898299455643
yjxc1snr,KDVI-multimodal-seed42,KDVI-multimodal,KDVI,multimodal,42,elbo,-0.00762223731726408
edgqy6gx,KDVI-multimodal-seed43,KDVI-multimodal,KDVI,multimodal,43,kl_ite,0.013415080497806375
edgqy6gx,KDVI-multimodal-seed43,KDVI-multimodal,KDVI,multimodal,43,w2,0.03741100803017616
edgqy6gx,KDVI-multimodal-seed43,KDVI-multimodal,KDVI,multimodal,43,elbo,-0.006308546289801598
zmnce7vt,KDVI-multimodal-seed44,KDVI-multimodal,KDVI,multimodal,44,kl_ite,-0.0036028155327650444
zmnce7vt,KDVI-multimodal-seed44,KDVI-multimodal,KDVI,multimodal,44,w2,0.02626105025410652
zmnce7vt,KDVI-multimodal-seed44,KDVI-multimodal,KDVI,multimodal,44,elbo,-0.008597125299274921
iyg23qrw,KDVI-multimodal-seed45,KDVI-multimodal,KDVI,multimodal,45,kl_ite,-0.004211461110580213
iyg23qrw,KDVI-multimodal-seed45,KDVI-multimodal,KDVI,multimodal,45,w2,0.03442942723631859
iyg23qrw,KDVI-multimodal-seed45,KDVI-multimodal,KDVI,multimodal,45,elbo,-0.005561611615121365
djkkuac6,KDVI-multimodal-seed46,KDVI-multimodal,KDVI,multimodal,46,kl_ite,-0.009088589967065786
djkkuac6,KDVI-multimodal-seed46,KDVI-multimodal,KDVI,multimodal,46,w2,0.025707118213176727
djkkuac6,KDVI-multimodal-seed46,KDVI-multimodal,KDVI,multimodal,46,elbo,-0.004193061031401157
sk6svnhe,KDVI-multimodal-seed47,KDVI-multimodal,KDVI,multimodal,47,kl_ite,0.005597188912687531
sk6svnhe,KDVI-multimodal-seed47,KDVI-multimodal,KDVI,multimodal,47,w2,0.02513372153043747
sk6svnhe,KDVI-multimodal-seed47,KDVI-multimodal,KDVI,multimodal,47,elbo,-0.006693090777844191
eoe0ayb5,KDVI-multimodal-seed48,KDVI-multimodal,KDVI,multimodal,48,kl_ite,0.0008271808514026678
eoe0ayb5,KDVI-multimodal-seed48,KDVI-multimodal,KDVI,multimodal,48,w2,0.03823951631784439
eoe0ayb5,KDVI-multimodal-seed48,KDVI-multimodal,KDVI,multimodal,48,elbo,-0.005363937932997942
1fties73,DSIVI-multimodal-seed0,DSIVI-multimodal,DSIVI,multimodal,0,kl_ite,-0.0121656275949372
1fties73,DSIVI-multimodal-seed0,DSIVI-multimodal,DSIVI,multimodal,0,w2,0.022772103548049927
1fties73,DSIVI-multimodal-seed0,DSIVI-multimodal,DSIVI,multimodal,0,elbo,-0.001356053166091442
gr7nm59e,DSIVI-multimodal-seed1,DSIVI-multimodal,DSIVI,multimodal,1,kl_ite,-0.014853802114110215
gr7nm59e,DSIVI-multimodal-seed1,DSIVI-multimodal,DSIVI,multimodal,1,w2,0.030191490426659584
gr7nm59e,DSIVI-multimodal-seed1,DSIVI-multimodal,DSIVI,multimodal,1,elbo,-0.0006929760565981269
9vn1q9w4,DSIVI-multimodal-seed7,DSIVI-multimodal,DSIVI,multimodal,7,kl_ite,-0.0070156263226189034
9vn1q9w4,DSIVI-multimodal-seed7,DSIVI-multimodal,DSIVI,multimodal,7,w2,0.02927192859351635
9vn1q9w4,DSIVI-multimodal-seed7,DSIVI-multimodal,DSIVI,multimodal,7,elbo,-0.0008974738884717226
l8vjv1l8,DSIVI-multimodal-seed42,DSIVI-multimodal,DSIVI,multimodal,42,kl_ite,0.0006447022889332367
l8vjv1l8,DSIVI-multimodal-seed42,DSIVI-multimodal,DSIVI,multimodal,42,w2,0.02601100318133831
l8vjv1l8,DSIVI-multimodal-seed42,DSIVI-multimodal,DSIVI,multimodal,42,elbo,-0.0008541629649698734
l40xkmlx,DSIVI-multimodal-seed43,DSIVI-multimodal,DSIVI,multimodal,43,kl_ite,0.0013735654442451686
l40xkmlx,DSIVI-multimodal-seed43,DSIVI-multimodal,DSIVI,multimodal,43,w2,0.04416459798812866
l40xkmlx,DSIVI-multimodal-seed43,DSIVI-multimodal,DSIVI,multimodal,43,elbo,-0.0010630072792991996
8x8dpzs6,DSIVI-multimodal-seed44,DSIVI-multimodal,DSIVI,multimodal,44,kl_ite,0.011209786682592236
8x8dpzs6,DSIVI-multimodal-seed44,DSIVI-multimodal,DSIVI,multimodal,44,w2,0.06073841452598572
8x8dpzs6,DSIVI-multimodal-seed44,DSIVI-multimodal,DSIVI,multimodal,44,elbo,-0.0012187340762466192
sez4kwt2,DSIVI-multimodal-seed45,DSIVI-multimodal,DSIVI,multimodal,45,kl_ite,0.013781866671888984
sez4kwt2,DSIVI-multimodal-seed45,DSIVI-multimodal,DSIVI,multimodal,45,w2,0.05494729056954384
sez4kwt2,DSIVI-multimodal-seed45,DSIVI-multimodal,DSIVI,multimodal,45,elbo,-0.001354977022856474
kg6q660v,DSIVI-multimodal-seed46,DSIVI-multimodal,DSIVI,multimodal,46,kl_ite,0.013658315353076631
kg6q660v,DSIVI-multimodal-seed46,DSIVI-multimodal,DSIVI,multimodal,46,w2,0.040237586945295334
kg6q660v,DSIVI-multimodal-seed46,DSIVI-multimodal,DSIVI,multimodal,46,elbo,-0.0009566966909915208
r3ionmgh,DSIVI-multimodal-seed47,DSIVI-multimodal,DSIVI,multimodal,47,kl_ite,0.00552149977099922
r3ionmgh,DSIVI-multimodal-seed47,DSIVI-multimodal,DSIVI,multimodal,47,w2,0.032501593232154846
r3ionmgh,DSIVI-multimodal-seed47,DSIVI-multimodal,DSIVI,multimodal,47,elbo,-0.0002650328096933663
f44lxs0z,DSIVI-multimodal-seed48,DSIVI-multimodal,DSIVI,multimodal,48,kl_ite,-0.009704521137839128
f44lxs0z,DSIVI-multimodal-seed48,DSIVI-multimodal,DSIVI,multimodal,48,w2,0.023927154019474983
f44lxs0z,DSIVI-multimodal-seed48,DSIVI-multimodal,DSIVI,multimodal,48,elbo,-0.0014386889524757862
mu07f8sh,KDVI-8_gaussians-seed0,KDVI-8_gaussians,KDVI,8_gaussians,0,kl_ite,0.04034524275894278
mu07f8sh,KDVI-8_gaussians-seed0,KDVI-8_gaussians,KDVI,8_gaussians,0,w2,0.1226920410990715
mu07f8sh,KDVI-8_gaussians-seed0,KDVI-8_gaussians,KDVI,8_gaussians,0,elbo,-0.21717694401741028
pr8dtujq,KDVI-8_gaussians-seed1,KDVI-8_gaussians,KDVI,8_gaussians,1,kl_ite,0.02905360756039049
pr8dtujq,KDVI-8_gaussians-seed1,KDVI-8_gaussians,KDVI,8_gaussians,1,w2,0.18916718661785129
pr8dtujq,KDVI-8_gaussians-seed1,KDVI-8_gaussians,KDVI,8_gaussians,1,elbo,-0.21833617985248568
1aavnt59,KDVI-8_gaussians-seed7,KDVI-8_gaussians,KDVI,8_gaussians,7,kl_ite,0.05138005199260978
1aavnt59,KDVI-8_gaussians-seed7,KDVI-8_gaussians,KDVI,8_gaussians,7,w2,0.23487573862075808
1aavnt59,KDVI-8_gaussians-seed7,KDVI-8_gaussians,KDVI,8_gaussians,7,elbo,-0.2339526265859604
mr2ahrl3,KDVI-8_gaussians-seed42,KDVI-8_gaussians,KDVI,8_gaussians,42,kl_ite,0.04100468701597895
mr2ahrl3,KDVI-8_gaussians-seed42,KDVI-8_gaussians,KDVI,8_gaussians,42,w2,0.10637307167053224
mr2ahrl3,KDVI-8_gaussians-seed42,KDVI-8_gaussians,KDVI,8_gaussians,42,elbo,-0.21715885400772095
hac9dw3m,KDVI-8_gaussians-seed43,KDVI-8_gaussians,KDVI,8_gaussians,43,kl_ite,0.07355209717075999
hac9dw3m,KDVI-8_gaussians-seed43,KDVI-8_gaussians,KDVI,8_gaussians,43,w2,0.39783650636672974
hac9dw3m,KDVI-8_gaussians-seed43,KDVI-8_gaussians,KDVI,8_gaussians,43,elbo,-0.21891039609909055
x26qokr3,KDVI-8_gaussians-seed44,KDVI-8_gaussians,KDVI,8_gaussians,44,kl_ite,0.032092383066142996
x26qokr3,KDVI-8_gaussians-seed44,KDVI-8_gaussians,KDVI,8_gaussians,44,w2,0.21867577731609344
x26qokr3,KDVI-8_gaussians-seed44,KDVI-8_gaussians,KDVI,8_gaussians,44,elbo,-0.24969598650932312
085e3zvh,KDVI-8_gaussians-seed45,KDVI-8_gaussians,KDVI,8_gaussians,45,kl_ite,0.038107442410096434
085e3zvh,KDVI-8_gaussians-seed45,KDVI-8_gaussians,KDVI,8_gaussians,45,w2,0.26111701130867004
085e3zvh,KDVI-8_gaussians-seed45,KDVI-8_gaussians,KDVI,8_gaussians,45,elbo,-0.20280349254608152
de979qf3,KDVI-8_gaussians-seed46,KDVI-8_gaussians,KDVI,8_gaussians,46,kl_ite,0.0209918151154552
de979qf3,KDVI-8_gaussians-seed46,KDVI-8_gaussians,KDVI,8_gaussians,46,w2,0.22514767944812775
de979qf3,KDVI-8_gaussians-seed46,KDVI-8_gaussians,KDVI,8_gaussians,46,elbo,-0.2440875619649887
92i3bskp,KDVI-8_gaussians-seed47,KDVI-8_gaussians,KDVI,8_gaussians,47,kl_ite,0.04022243870020664
92i3bskp,KDVI-8_gaussians-seed47,KDVI-8_gaussians,KDVI,8_gaussians,47,w2,0.21722424030303955
92i3bskp,KDVI-8_gaussians-seed47,KDVI-8_gaussians,KDVI,8_gaussians,47,elbo,-0.2098620980978012
cubryvml,KDVI-8_gaussians-seed48,KDVI-8_gaussians,KDVI,8_gaussians,48,kl_ite,0.02785194896470931
cubryvml,KDVI-8_gaussians-seed48,KDVI-8_gaussians,KDVI,8_gaussians,48,w2,0.10419884324073792
cubryvml,KDVI-8_gaussians-seed48,KDVI-8_gaussians,KDVI,8_gaussians,48,elbo,-0.20678265392780304
z2oe1ng5,DSIVI-8_gaussians-seed0,DSIVI-8_gaussians,DSIVI,8_gaussians,0,kl_ite,0.23916946086493615
z2oe1ng5,DSIVI-8_gaussians-seed0,DSIVI-8_gaussians,DSIVI,8_gaussians,0,w2,0.328226774930954
z2oe1ng5,DSIVI-8_gaussians-seed0,DSIVI-8_gaussians,DSIVI,8_gaussians,0,elbo,-0.40820473432540894
vh3fuvsz,DSIVI-8_gaussians-seed1,DSIVI-8_gaussians,DSIVI,8_gaussians,1,kl_ite,0.06036387568643836
vh3fuvsz,DSIVI-8_gaussians-seed1,DSIVI-8_gaussians,DSIVI,8_gaussians,1,w2,0.1443471759557724
vh3fuvsz,DSIVI-8_gaussians-seed1,DSIVI-8_gaussians,DSIVI,8_gaussians,1,elbo,-0.15119223296642303
rqhybmtx,DSIVI-8_gaussians-seed7,DSIVI-8_gaussians,DSIVI,8_gaussians,7,kl_ite,0.12097205240428076
rqhybmtx,DSIVI-8_gaussians-seed7,DSIVI-8_gaussians,DSIVI,8_gaussians,7,w2,0.24687683582305908
rqhybmtx,DSIVI-8_gaussians-seed7,DSIVI-8_gaussians,DSIVI,8_gaussians,7,elbo,-0.14859499037265778
5lxqxuen,DSIVI-8_gaussians-seed42,DSIVI-8_gaussians,DSIVI,8_gaussians,42,kl_ite,0.1011379423121544
5lxqxuen,DSIVI-8_gaussians-seed42,DSIVI-8_gaussians,DSIVI,8_gaussians,42,w2,0.10081671178340912
5lxqxuen,DSIVI-8_gaussians-seed42,DSIVI-8_gaussians,DSIVI,8_gaussians,42,elbo,-0.13534267246723175
6kg44pjq,DSIVI-8_gaussians-seed43,DSIVI-8_gaussians,DSIVI,8_gaussians,43,kl_ite,0.06428977238191322
6kg44pjq,DSIVI-8_gaussians-seed43,DSIVI-8_gaussians,DSIVI,8_gaussians,43,w2,0.09667421877384186
6kg44pjq,DSIVI-8_gaussians-seed43,DSIVI-8_gaussians,DSIVI,8_gaussians,43,elbo,-0.10841354727745056
mg2noagt,DSIVI-8_gaussians-seed44,DSIVI-8_gaussians,DSIVI,8_gaussians,44,kl_ite,0.5723087953514524
mg2noagt,DSIVI-8_gaussians-seed44,DSIVI-8_gaussians,DSIVI,8_gaussians,44,w2,0.1986612230539322
mg2noagt,DSIVI-8_gaussians-seed44,DSIVI-8_gaussians,DSIVI,8_gaussians,44,elbo,-1.1249301433563232
xgatiy93,DSIVI-8_gaussians-seed45,DSIVI-8_gaussians,DSIVI,8_gaussians,45,kl_ite,0.18702322079125125
xgatiy93,DSIVI-8_gaussians-seed45,DSIVI-8_gaussians,DSIVI,8_gaussians,45,w2,0.639055609703064
xgatiy93,DSIVI-8_gaussians-seed45,DSIVI-8_gaussians,DSIVI,8_gaussians,45,elbo,-0.24890439212322235
fx3gca0z,DSIVI-8_gaussians-seed46,DSIVI-8_gaussians,DSIVI,8_gaussians,46,kl_ite,0.5895438130923961
fx3gca0z,DSIVI-8_gaussians-seed46,DSIVI-8_gaussians,DSIVI,8_gaussians,46,w2,0.1868351399898529
