epoch,group,method,reference_internal_l2,replication_unit,run_id,seed,target
10000,6,DSIVI,7.0165449359132435,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
10000,7,DSIVI,4.927075511180702,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
10000,8,DSIVI,3.469620256304686,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
10000,9,DSIVI,6.20467925632396,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
10000,0,DSIVI,6.833800992832227,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,1,DSIVI,2.455883512449472,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,2,DSIVI,10.0083255787572,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,3,DSIVI,4.989934897078368,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,4,DSIVI,3.52658166841674,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,5,DSIVI,4.100630015447566,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,6,DSIVI,3.337552783514811,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,7,DSIVI,6.211369639559916,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,8,DSIVI,6.076642850888116,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,9,DSIVI,4.450451492819614,sgld_group_mean,seed49_dsivi_8_gaussians,49,8_gaussians
10000,0,DSIVI,1.4777979589049814,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
10000,1,DSIVI,5.8747373383047155,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
10000,2,DSIVI,5.958224405102477,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
10000,3,DSIVI,5.0308749649397555,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
10000,4,DSIVI,4.980719651286253,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
10000,5,DSIVI,2.160341895182793,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
10000,6,DSIVI,3.8413698748923713,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
10000,7,DSIVI,5.624968650072929,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
10000,8,DSIVI,7.036603834388778,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
10000,9,DSIVI,3.87296451107631,sgld_group_mean,seed50_dsivi_8_gaussians,50,8_gaussians
