2026-03-28 22:25:40 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 110, Reverse Model KL ITE: 0.0042
2026-03-28 22:25:40 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 110, VI W2 to baseline: 1.6980
2026-03-28 22:25:40 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 110, Reverse Model W2: 0.0577
2026-03-28 22:25:40 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 110, ELBO: -3.8514, Std Total: 7.3480, Std Q: nan, CI Half: 0.6441
2026-03-28 22:25:40 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 110, VI KSD: 0.3260
2026-03-28 22:25:40 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 120, VI KL to baseline: 2.3733
2026-03-28 22:25:40 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 120, Reverse Model KL ITE: -0.0358
2026-03-28 22:25:40 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 120, VI W2 to baseline: 1.7316
2026-03-28 22:25:40 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 120, Reverse Model W2: 0.0612
2026-03-28 22:25:40 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 120, ELBO: -5.0409, Std Total: 8.3871, Std Q: nan, CI Half: 0.7352
2026-03-28 22:25:40 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 120, VI KSD: 0.3373
2026-03-28 22:25:40 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 130, VI KL to baseline: 2.3351
2026-03-28 22:25:41 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 130, Reverse Model KL ITE: 0.0274
2026-03-28 22:25:41 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 130, VI W2 to baseline: 1.6856
2026-03-28 22:25:41 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 130, Reverse Model W2: 0.0720
2026-03-28 22:25:41 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 130, ELBO: -4.6476, Std Total: 8.0595, Std Q: nan, CI Half: 0.7064
2026-03-28 22:25:41 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 130, VI KSD: 0.2924
2026-03-28 22:25:41 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 140, VI KL to baseline: 2.2326
2026-03-28 22:25:41 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 140, Reverse Model KL ITE: 0.0027
