method,target,seed,epoch,batch_size,repetition,latency_ms
UIVI,x_shaped,42,10000,1,47,207.796411
UIVI,x_shaped,42,10000,1,48,208.387555
UIVI,x_shaped,42,10000,1,49,207.909312
UIVI,x_shaped,42,10000,1,50,209.229334
UIVI,x_shaped,42,10000,1,51,207.760346
UIVI,x_shaped,42,10000,1,52,215.279156
UIVI,x_shaped,42,10000,1,53,217.776813
UIVI,x_shaped,42,10000,1,54,208.410809
UIVI,x_shaped,42,10000,1,55,208.611386
UIVI,x_shaped,42,10000,1,56,207.772577
UIVI,x_shaped,42,10000,1,57,210.933768
UIVI,x_shaped,42,10000,1,58,207.775183
UIVI,x_shaped,42,10000,1,59,207.430423
UIVI,x_shaped,42,10000,1,60,207.511235
UIVI,x_shaped,42,10000,1,61,197.402123
UIVI,x_shaped,42,10000,1,62,150.515415
UIVI,x_shaped,42,10000,1,63,172.828868
UIVI,x_shaped,42,10000,1,64,214.761124
UIVI,x_shaped,42,10000,1,65,207.689125
UIVI,x_shaped,42,10000,1,66,207.965541
UIVI,x_shaped,42,10000,1,67,206.93133
UIVI,x_shaped,42,10000,1,68,206.705663
UIVI,x_shaped,42,10000,1,69,210.082392
UIVI,x_shaped,42,10000,1,70,209.083006
UIVI,x_shaped,42,10000,1,71,207.028524
UIVI,x_shaped,42,10000,1,72,207.082013
UIVI,x_shaped,42,10000,1,73,207.150395
UIVI,x_shaped,42,10000,1,74,209.381813
UIVI,x_shaped,42,10000,1,75,210.306375
UIVI,x_shaped,42,10000,1,76,208.368889
UIVI,x_shaped,42,10000,1,77,207.24311
UIVI,x_shaped,42,10000,1,78,226.658317
UIVI,x_shaped,42,10000,1,79,224.216891
UIVI,x_shaped,42,10000,1,80,223.934315
UIVI,x_shaped,42,10000,1,81,223.828199
UIVI,x_shaped,42,10000,1,82,223.502996
UIVI,x_shaped,42,10000,1,83,225.144353
UIVI,x_shaped,42,10000,1,84,224.053509
UIVI,x_shaped,42,10000,1,85,220.636332
