recipe_id,epsilon_dim,hidden_dim,num_layers,activation,seeds_complete,n_seeds,kl_final_mean,kl_final_std,kl_final_count,kl_best_mean,kl_best_std,kl_best_count,w2_final_mean,w2_final_std,w2_final_count,w2_best_mean,w2_best_std,w2_best_count,pareto,status
eps64-h128-l4-silu,64,128,4,silu,"0,1,7",3,0.993880924247322,0.03595189673675129,3,0.8842497827824719,0.023292929331812318,3,1.228418509165446,0.23658780286103834,3,0.6828308900197347,0.05145332896048495,3,False,complete
eps64-h256-l2-elu,64,256,2,elu,"0,1,7",3,0.17669625815960363,0.01858075706695525,3,0.15731002893864082,0.010455384090784003,3,0.18531487882137299,0.018897650863577472,3,0.13852388660113016,0.010350467347145322,3,False,complete
eps64-h256-l2-relu,64,256,2,relu,"0,1,7",3,0.9266320141700591,0.036104403282112334,3,0.8874358623786052,0.011554178619339831,3,1.0538965463638306,0.013058291372759875,3,0.7105226715405782,0.04479558664398959,3,False,complete
eps64-h256-l2-silu,64,256,2,silu,"0,1,7",3,0.12607451473290698,0.030275367089061898,3,0.11023619064465354,0.015208841152374548,3,0.18674319485823312,0.03047703527199468,3,0.13907331973314285,0.01388303569431689,3,False,complete
eps64-h256-l3-elu,64,256,3,elu,"0,1,7",3,0.0678572441576791,0.022007167159823045,3,0.03966072018638989,0.013982101172149982,3,0.10839479168256123,0.04953048213147353,3,0.09183865785598755,0.03048887868079582,3,True,complete
eps64-h256-l3-relu,64,256,3,relu,"0,1,7",3,1.3184683496429288,0.12718367638191128,3,1.296223404034414,0.12262193604706917,3,3.0081374645233154,0.4332380903954999,3,1.0567365090052288,0.07871060088218292,3,False,complete
eps64-h256-l3-silu,64,256,3,silu,"0,1,7",3,0.057906138779290066,0.02566016697341199,3,0.03840983620583237,0.018153257710537545,3,0.2733181168635686,0.08294720466527539,3,0.16475197424491247,0.035026873401177494,3,True,complete
eps64-h256-l4-elu,64,256,4,elu,"0,1,7",3,0.07401455477990794,0.024026191397051557,3,0.027077413549251566,0.01646915684513399,3,0.2759874388575554,0.16610027766368987,3,0.12996883938709894,0.046469928471109985,3,False,complete
eps64-h256-l4-relu,64,256,4,relu,"0,1,7",3,2.0601913481635745,0.023534378473554635,3,1.9411079851820456,0.016773004347063136,3,3.7889410654703775,0.05666125824028725,3,1.031179706255595,0.053354399527600176,3,False,complete
eps64-h256-l4-silu,64,256,4,silu,"0,1,7",3,0.1096609568513351,0.05529039633939255,3,0.08616747062487853,0.07005714805247984,3,0.3417421455184619,0.23293250511491995,3,0.2214556410908699,0.1336976778086746,3,False,complete
eps64-h512-l2-elu,64,512,2,elu,"0,1,7",3,0.21590649813397017,0.024992769543371228,3,0.1866249851202669,0.046342934427481074,3,0.20275764664014181,0.041409369167778015,3,0.15325182676315308,0.018808484884900476,3,False,complete
eps64-h512-l2-relu,64,512,2,relu,"0,1,7",3,0.9500748231782976,0.01366820151208413,3,0.913556853130461,0.010658416550093114,3,1.1064529021581013,0.01890797327112472,3,0.6921059290568033,0.041793603438190295,3,False,complete
eps64-h512-l2-silu,64,512,2,silu,"0,1,7",3,0.12532150452581498,0.01876304221320497,3,0.09893927143183906,0.008842221569078499,3,0.17810245851675668,0.03865259224857073,3,0.1276377042134603,0.01954359898167912,3,False,complete
eps64-h512-l3-elu,64,512,3,elu,"0,1",2,0.07234782199666528,0.0022309554553529183,2,0.05118730942386568,0.010959981118940558,2,0.24608606100082397,0.07773733326743339,2,0.17441202700138092,0.050375578140736725,2,False,incomplete
eps64-h512-l3-relu,64,512,3,relu,"0,1,7",3,1.3251951612077433,0.27058365874527746,3,1.2532797107450029,0.32542841627687524,3,2.9560054937998452,0.31742689327719176,3,0.9052897095680237,0.1781313131093619,3,False,complete
eps64-h512-l3-silu,64,512,3,silu,"0,1,7",3,0.07789855302938102,0.014892235422863056,3,0.05101349764779078,0.013772488272886777,3,0.2675548493862152,0.052361820227960085,3,0.13311375677585602,0.009085875297857662,3,False,complete
eps64-h512-l4-elu,64,512,4,elu,"0,1,7",3,0.07092982339626294,0.021189051441224866,3,0.04589888148276801,0.01582525554169837,3,0.18445311983426413,0.10094653119451084,3,0.13219436009724936,0.08557165730000761,3,False,complete
eps64-h512-l4-relu,64,512,4,relu,"0,1,7",3,2.0519826742856533,0.02102675338743539,3,1.909110127704408,0.0227962972065481,3,3.6129914124806723,0.020836028875629197,3,1.036086897055308,0.05428196980615704,3,False,complete
eps64-h512-l4-silu,64,512,4,silu,"0,1,7",3,0.06172781165140352,0.007613030356934892,3,0.04869341888301669,0.01262900311233959,3,0.29682448009649914,0.08112910213386935,3,0.18312223255634308,0.01738043645861244,3,False,complete
