recipe_id,mcmc_type,step_schedule,nominal_step,k_mode,annealing_steps,seeds_complete,n_seeds,kl_mean,kl_std,w2_mean,w2_std,pareto,status
sgld-cos1to0p01d50k-k10-ann50k,sgld,cosine,NA,k10,50000,"0,1,7",3,0.11582536371507086,0.011969338256692833,0.09726395706335704,0.021100824650841538,False,complete
sgld-cos1to0p01d50k-k1to20-ann50k,sgld,cosine,NA,k1to20,50000,"0,1,7",3,0.09822082996757431,0.0032126990602394092,0.10057587673266728,0.012952403772889661,False,complete
sgld-cos1to0p01d50k-k2-ann50k,sgld,cosine,NA,k2,50000,"0,1,7",3,0.1322751743604041,0.007569657685819168,0.18248464167118073,0.12030613842180936,False,complete
sgld-cos1to0p01d50k-k5-ann50k,sgld,cosine,NA,k5,50000,"0,1,7",3,0.13023928256494108,0.020778746887060315,0.1583895261089007,0.08311011464410253,False,complete
sgld-coupled-step0p02-k1-ann100k,sgld,coupled,0.02,k1,100000,"0,1,7",3,0.19496834711857575,0.02169565978347855,0.21063760419686636,0.046264600654784244,False,complete
sgld-coupled-step0p02-k1-ann50k,sgld,coupled,0.02,k1,50000,"0,1,7",3,0.14989904670257764,0.012219121144810911,0.30843064188957214,0.05726299960558089,False,complete
sgld-coupled-step0p02-k10-ann100k,sgld,coupled,0.02,k10,100000,"0,1,7",3,0.11666029387453809,0.007113503582256937,0.10691336294015248,0.020805464429001958,False,complete
sgld-coupled-step0p02-k10-ann50k,sgld,coupled,0.02,k10,50000,"0,1,7",3,0.08079205537560562,0.025342056742202895,0.2030637115240097,0.14158517929414677,False,complete
sgld-coupled-step0p02-k1to20-ann100k,sgld,coupled,0.02,k1to20,100000,"0,1,7",3,0.13052232357307325,0.005651838163586021,0.17412508030732474,0.031865071931717046,False,complete
sgld-coupled-step0p02-k1to20-ann50k,sgld,coupled,0.02,k1to20,50000,"0,1,7",3,0.08841135523063152,0.0038186275268858295,0.2611392041047414,0.03749106608357968,False,complete
sgld-coupled-step0p02-k2-ann100k,sgld,coupled,0.02,k2,100000,"0,1,7",3,0.14505735240427017,0.01177162873538251,0.22099137802918753,0.13028954759498604,False,complete
sgld-coupled-step0p02-k2-ann50k,sgld,coupled,0.02,k2,50000,"0,1,7",3,0.11454929039027154,0.03224004398182003,0.2075875699520111,0.018661788456246556,False,complete
sgld-coupled-step0p02-k5-ann100k,sgld,coupled,0.02,k5,100000,"0,1,7",3,0.13331193311504258,0.025804677383760962,0.09691293289264043,0.030578042003673422,False,complete
sgld-coupled-step0p02-k5-ann50k,sgld,coupled,0.02,k5,50000,"0,1,7",3,0.09833800358992545,0.010596286165088203,0.15557527293761572,0.03165706748284867,False,complete
sgld-coupled-step0p05-k1-ann100k,sgld,coupled,0.05,k1,100000,"0,1,7",3,0.15659262767147997,0.01286746997792128,0.17543726662794748,0.03259874729965285,False,complete
sgld-coupled-step0p05-k1-ann50k,sgld,coupled,0.05,k1,50000,"0,1,7",3,0.1074796481756241,0.0055514613368738185,0.26339738070964813,0.09842719208472246,False,complete
sgld-coupled-step0p05-k10-ann100k,sgld,coupled,0.05,k10,100000,"0,1,7",3,0.13554497391169446,0.011531527002659322,0.15275530517101288,0.018143205554474438,False,complete
sgld-coupled-step0p05-k10-ann50k,sgld,coupled,0.05,k10,50000,"0,1,7",3,0.06476806489227338,0.004336603116160651,0.074616522838672,0.02824513321436792,True,complete
sgld-coupled-step0p05-k1to20-ann100k,sgld,coupled,0.05,k1to20,100000,"0,1,7",3,0.1413231265872859,0.008625423269270184,0.10720706234375636,0.042323753889989595,False,complete
sgld-coupled-step0p05-k1to20-ann50k,sgld,coupled,0.05,k1to20,50000,"0,1,7",3,0.08417552868380583,0.013127035775809748,0.12338763227065404,0.020316452078753156,False,complete
sgld-coupled-step0p05-k2-ann100k,sgld,coupled,0.05,k2,100000,"0,1,7",3,0.11636960222683074,0.01836990828909935,0.12576147665580115,0.009017718479574372,False,complete
sgld-coupled-step0p05-k2-ann50k,sgld,coupled,0.05,k2,50000,"0,1,7",3,0.07987845761893213,0.0320861617966991,0.10323705772558849,0.01638747494705761,False,complete
sgld-coupled-step0p05-k5-ann100k,sgld,coupled,0.05,k5,100000,"0,1,7",3,0.12350055239399811,0.026471281019520957,0.10386438171068828,0.01944869919814748,False,complete
sgld-coupled-step0p05-k5-ann50k,sgld,coupled,0.05,k5,50000,"0,1,7",3,0.07060363248659478,0.0061412724461416745,0.10169639686743419,0.05109388399536319,False,complete
sgld-coupled-step0p10-k1-ann100k,sgld,coupled,0.10,k1,100000,"0,1,7",3,0.12581465931935595,0.041942872460905105,0.1294936661918958,0.037643174931563064,False,complete
sgld-coupled-step0p10-k1-ann50k,sgld,coupled,0.10,k1,50000,"0,1,7",3,0.07351384527476763,0.02211301886539041,0.1338316798210144,0.08361502979623775,False,complete
sgld-coupled-step0p10-k10-ann100k,sgld,coupled,0.10,k10,100000,"0,1,7",3,0.14875273748293788,0.014390010871718189,0.13301512350638708,0.057142253225535455,False,complete
sgld-coupled-step0p10-k10-ann50k,sgld,coupled,0.10,k10,50000,"0,1,7",3,0.07237479165249235,0.01615097929707016,0.10636042555173238,0.03601399347491977,False,complete
