chain,epoch,method,progress,reference_internal_l2,reference_seed,repeat,replication_unit,run_id,runtime_sec,seed,target
1,8000,SIVI,0.8,0.19594973335135646,32442941,1,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
2,8000,SIVI,0.8,0.18454942428955745,32442941,2,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
3,8000,SIVI,0.8,0.18584576512805182,32442941,3,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
4,8000,SIVI,0.8,0.21132285674609996,32442941,4,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
5,8000,SIVI,0.8,0.2002045615848034,32442941,5,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
6,8000,SIVI,0.8,0.17840702383436519,32442941,6,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
7,8000,SIVI,0.8,0.18663165488813607,32442941,7,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
8,8000,SIVI,0.8,0.19967632428622695,32442941,8,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
9,8000,SIVI,0.8,0.19145366890031923,32442941,9,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
0,10000,SIVI,1.0,0.21974697271479135,1965247157,0,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
1,10000,SIVI,1.0,0.21569564485446108,1965247157,1,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
2,10000,SIVI,1.0,0.23143172085293037,1965247157,2,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
3,10000,SIVI,1.0,0.21648397042716866,1965247157,3,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
4,10000,SIVI,1.0,0.21004386543353215,1965247157,4,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
5,10000,SIVI,1.0,0.1958857720505668,1965247157,5,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
6,10000,SIVI,1.0,0.17922267352339716,1965247157,6,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
7,10000,SIVI,1.0,0.20192466671753914,1965247157,7,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
8,10000,SIVI,1.0,0.19274204966780406,1965247157,8,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
9,10000,SIVI,1.0,0.19823323288467398,1965247157,9,hmc_chain,seed44_sivi_x_shaped,9.229847657121718,44,x_shaped
0,2000,SIVI,0.2,0.09623592732137183,211026819,0,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
1,2000,SIVI,0.2,0.07876175091875094,211026819,1,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
2,2000,SIVI,0.2,0.08941667647067365,211026819,2,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
3,2000,SIVI,0.2,0.08167752214600033,211026819,3,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
4,2000,SIVI,0.2,0.08497785050105683,211026819,4,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
5,2000,SIVI,0.2,0.08636181695891199,211026819,5,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
6,2000,SIVI,0.2,0.08669806629686608,211026819,6,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
7,2000,SIVI,0.2,0.0864623630097254,211026819,7,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
8,2000,SIVI,0.2,0.08196290099249365,211026819,8,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
9,2000,SIVI,0.2,0.09551763419581458,211026819,9,hmc_chain,seed45_sivi_x_shaped,7.584922419860959,45,x_shaped
0,4000,SIVI,0.4,0.15618871629983927,502056621,0,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
1,4000,SIVI,0.4,0.13750216812208804,502056621,1,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
2,4000,SIVI,0.4,0.14666587861603708,502056621,2,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
3,4000,SIVI,0.4,0.14081048573792043,502056621,3,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
4,4000,SIVI,0.4,0.17064848748608805,502056621,4,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
5,4000,SIVI,0.4,0.1510846578818038,502056621,5,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
6,4000,SIVI,0.4,0.1513746715423194,502056621,6,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
7,4000,SIVI,0.4,0.14045250971121478,502056621,7,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
8,4000,SIVI,0.4,0.1377196314067936,502056621,8,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
