epoch,method,method_l2_mean,method_l2_sd,method_n_failed,method_n_valid,method_relative_l2_mean,method_relative_l2_sd,method_runtime_sec_mean,method_target_l2_mean,method_target_l2_sd,n_seeds,progress,reference_internal_l2_mean,reference_internal_l2_sd,reference_mean_mcse_l2_mean,reference_mean_mcse_l2_sd,reference_quality_n_pass,reference_quality_n_warning,reference_runtime_sec_mean,reference_target_l2_mean,reference_target_l2_sd,target
4000,DSIVI,1.8691002311793194,1.255239683539211,0,5,0.3266008231268459,0.17909705086091993,0.0005612149834632874,0.44185723879153205,0.11008333373010434,5,0.4,3.421787058245333,1.556272484825266,0.3801985620272592,0.17291916498058513,5,0,108.71273888982833,1.9871411919380475,1.2773935068653135,x_shaped
6000,DSIVI,1.0070837774452681,0.7222379838993347,0,5,0.18876053161955347,0.10910852575578149,0.000546766072511673,0.16443904422038363,0.046987512709863,5,0.6,2.9583614649613414,1.4572740041743435,0.3287068294401491,0.16191933379714926,5,0,101.64576420411467,0.9509605752537365,0.717880827989265,x_shaped
8000,DSIVI,0.7877559992102638,0.5398186896328798,0,5,0.1610991981792212,0.09767269558753142,0.000523025169968605,0.1948277662568405,0.07867110892062144,5,0.8,3.316877652301551,1.523857163306817,0.3685419613668389,0.1693174625896463,5,0,101.49057988934219,0.6562793041102528,0.4691472478209172,x_shaped
10000,DSIVI,0.6996811920650512,0.6712522283824084,0,5,0.13320589637263075,0.10528476286466046,0.000505482405424118,0.09741412443259452,0.05210367976855196,5,1.0,2.995882910356507,1.8486989967021514,0.3328758789285008,0.2054109996335724,5,0,101.61608550287784,0.6750086759937459,0.6766172582021823,x_shaped
2000,SIVI,0.023576781644190404,0.005469880593757918,0,5,0.01261339742243768,0.002939852169452426,0.030357513949275015,3.1774496016474365,0.41308229368209315,5,0.2,0.08971952511550753,0.004941288772027581,0.00996883612394528,0.0005490320857808426,5,0,91.08594140671194,3.1322247139117083,0.4195487772760581,x_shaped
4000,SIVI,0.033314307523638606,0.0035052443748246325,0,5,0.010002327388791907,0.0007666263656931072,0.0024784911423921586,0.2627174017751435,0.050182202944930886,5,0.4,0.16069600757017008,0.010606159216060616,0.01785511195224112,0.0011784621351178459,5,0,96.49999516196549,0.25950245393722565,0.039986661810701686,x_shaped
6000,SIVI,0.04230758260776011,0.01100418767581977,0,5,0.010254350059207,0.002821511782840218,0.0019010994583368301,0.052341978919387286,0.010109560597667745,5,0.6,0.20123179852217774,0.01997198433230113,0.022359088724686414,0.002219109370255681,5,0,93.93927781321108,0.06633285312427237,0.021355005009077232,x_shaped
8000,SIVI,0.03894524870288968,0.006205500723958341,0,5,0.009891654549985108,0.0016895203927797273,0.0019364297389984132,0.04494221461183275,0.009143822714633832,5,0.8,0.1991820961397874,0.021014775654397376,0.022131344015531934,0.0023349750727108204,5,0,90.75551895536482,0.05124982172608149,0.006280808276514033,x_shaped
10000,SIVI,0.04198774517979014,0.0110477583703278,0,5,0.01060159831918882,0.0027064851966721597,0.0028733473271131517,0.03750557223364111,0.006421284755190183,5,1.0,0.19629446435366457,0.013214172852365513,0.021810496039296065,0.0014682414280406126,5,0,94.90029175318777,0.046103991053160404,0.012800084687471314,x_shaped
2000,UIVI,1.3543072004400516,0.2716320497150265,0,5,0.8272100697716107,0.1572807208271201,0.1478697184473276,5.522777938369379,0.5455252706313747,5,0.2,0.08253526166098127,0.003858841873188563,0.00917058462899792,0.0004287602081320626,5,0,92.6655834134668,4.240119189292434,0.7077704903861018,x_shaped
4000,UIVI,2.540716553714536,1.253601988526004,0,5,0.8867911436109435,0.41683995304309834,0.21074076928198338,3.6022249850256762,1.451871491922936,5,0.4,0.15852468190784721,0.027249359136633098,0.017613853545316357,0.0030277065707370113,5,0,92.77917781360448,1.0521038711031112,0.6686630460053757,x_shaped
6000,UIVI,2.824654801860949,0.3167390454457313,0,5,0.8224236977815018,0.17908879455615723,0.172238140180707,3.49714276570448,0.8832797538434745,5,0.6,0.18522417514862144,0.009924180082908907,0.020580463905402382,0.0011026866758787675,5,0,95.08660143837332,0.7043957019051976,0.7503389706443391,x_shaped
8000,UIVI,3.05475897979695,0.6568613002183156,0,5,0.9359593724549551,0.322949495645649,0.1655447356402874,3.771454133296828,1.4254868518468673,5,0.8,0.19008586922952458,0.028431501411357953,0.021120652136613842,0.003159055712373106,5,0,93.44999793730676,0.752022118514955,0.7692026044059189,x_shaped
10000,UIVI,2.959781373408315,0.7272414056524311,0,5,0.9181042880950082,0.34488335839005413,0.20737499855458735,3.743230398791161,1.5349685517806166,5,1.0,0.18342384913845736,0.02498953579357288,0.020380427682050818,0.002776615088174765,5,0,98.03598972521722,0.8106096862225763,0.7769291176347157,x_shaped
