2026-03-28 21:53:17 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 700, VI KSD: 11.0999
2026-03-28 21:53:32 | DEBUG | sivi:base_runner.py:874| learn | Epoch 800: Avg Loss: 2.0847, Avg Epoch Time: 0.1536s
2026-03-28 21:53:32 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 800, VI W2 to baseline: 0.1618
2026-03-28 21:53:32 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 800, Reverse Model W2: 0.0809
2026-03-28 21:53:32 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 800, ELBO: -273.0919, Std Total: 77.4316, Std Q: nan, CI Half: 2.1463
2026-03-28 21:53:32 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 800, VI KSD: 9.9774
2026-03-28 21:53:47 | DEBUG | sivi:base_runner.py:874| learn | Epoch 900: Avg Loss: 2.3338, Avg Epoch Time: 0.1500s
2026-03-28 21:53:47 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 900, VI W2 to baseline: 0.1801
2026-03-28 21:53:47 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 900, Reverse Model W2: 0.0751
2026-03-28 21:53:47 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 900, ELBO: -254.8402, Std Total: 74.1753, Std Q: nan, CI Half: 2.0560
2026-03-28 21:53:47 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 900, VI KSD: 8.8843
2026-03-28 21:54:02 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1000: Avg Loss: 6.9897, Avg Epoch Time: 0.1492s
2026-03-28 21:54:02 | DEBUG | sivi:base_reverse_runner.py:183| _training_rev_log_func | Epoch 1000, Inner epoch 1, Reverse Model Loss: 128.7538, Avg Steps: 1.0000
2026-03-28 21:54:02 | DEBUG | sivi:base_runner.py:588| save_samples | Saved 1000 samples at epoch 1000.
2026-03-28 21:54:02 | DEBUG | sivi:base_runner.py:607| save_checkpoint | Saved VIModel checkpoints at epoch 1000 to results/AISIVI/Langevin_post/20260328_214950/checkpoints/epoch_1000.
