epoch,gpu_headroom_gib_mean,gpu_headroom_gib_sd,local_target_l2_mean,local_target_l2_sd,method,method_l2_mean,method_l2_sd,method_n_valid,method_relative_l2_mean,method_relative_l2_sd,method_runtime_sec_mean,method_runtime_sec_sd,method_target_l2_mean,method_target_l2_sd,n_seeds,peak_gpu_reserved_bytes_mean,peak_gpu_reserved_bytes_sd,physical_scale_max_mean,physical_scale_max_sd,physical_scale_median_mean,physical_scale_median_sd,physical_scale_min_mean,physical_scale_min_sd,progress,quadrature_boundary_mass_p95_mean,quadrature_boundary_mass_p95_sd,quadrature_epsilon_dim,quadrature_ess_mean_mean,quadrature_ess_mean_sd,quadrature_max_weight_p95_mean,quadrature_max_weight_p95_sd,quadrature_nodes_per_second_mean,quadrature_nodes_per_second_sd,quadrature_runtime_sec_mean,quadrature_runtime_sec_sd,scaling_runtime_sec_mean,scaling_runtime_sec_sd,target,total_runtime_sec_mean,total_runtime_sec_sd
2000,23.42010498046875,,14.41819097125684,,SIVI,0.7614070060529862,,1,0.3215305096567384,,0.0015633255243301392,,13.784334158703288,,1,148897792.0,,0.9891272846218432,,0.19896974402876888,,0.030028130154086688,,0.2,0.17688020282784572,,2,16.051412677522286,,0.31907292133591464,,1376911.176444186,,0.12568421475589275,,0.01046772114932537,,8_gaussians,0.13771526142954826,
4000,23.42010498046875,,8.890353312980206,,SIVI,1.0583350076648919,,1,0.26931844326007764,,0.0010881703346967697,,7.514513564420708,,1,148897792.0,,0.9959109291247713,,0.17647429190315242,,0.02740775821753455,,0.4,0.18657803087387584,,2,14.746145585960017,,0.3843074665017221,,1399462.3308219537,,0.12365891970694065,,0.01025974377989769,,8_gaussians,0.1350068338215351,
6000,23.42010498046875,,7.295022346552038,,SIVI,1.4430977008412262,,1,0.24665366922677207,,0.001082221046090126,,5.821675054332761,,1,148897792.0,,0.9999061505969625,,0.19402771483691306,,0.022105954809115442,,0.6,0.17879039893849202,,2,15.329698599202988,,0.3995834021118917,,1401034.0521375749,,0.12352019548416138,,0.010273825377225876,,8_gaussians,0.13487624190747738,
8000,23.42010498046875,,7.989428160967435,,SIVI,2.044607572316664,,1,0.36892287516910444,,0.0010885391384363174,,6.30746190263002,,1,148897792.0,,0.999249141681439,,0.18765972324697028,,0.01637990860402416,,0.8,0.205709530908779,,2,14.540241667399894,,0.42497021512944005,,1398072.6370124158,,0.12378183752298355,,0.01011931337416172,,8_gaussians,0.1349896900355816,
10000,23.42010498046875,,6.275275532012028,,SIVI,1.5961650777912757,,1,0.2894370911468897,,0.0010855942964553833,,4.441768717980818,,1,148897792.0,,0.9981513001663197,,0.21127882438215229,,0.016750508418023214,,1.0,0.20719339817969434,,2,14.691279748402906,,0.4390119842850119,,1372158.5389038837,,0.12611953727900982,,0.010112043470144272,,8_gaussians,0.13731717504560947,
2000,23.45135498046875,,16.69129200701672,,UIVI,0.6866767415255646,,1,0.6079181323209336,,0.07408950105309486,,17.532040626312753,,1,115343360.0,,0.9998868795795774,,0.33661020851991036,,0.0781893060724033,,0.2,0.09228002615380582,,2,15.931460708096722,,0.15398231195497578,,1355332.358797591,,0.1276852861046791,,0.011483738198876381,,8_gaussians,0.21325852535665035,
4000,23.45135498046875,,12.307508025554256,,UIVI,1.3428275354194419,,1,0.5827047732071551,,0.07483856752514839,,13.735374507165687,,1,115343360.0,,0.9998391867715701,,0.2378524514695768,,0.06241829765629186,,0.4,0.12024499531020058,,2,17.186328717723143,,0.1677165841636361,,1332253.1274043117,,0.12989723682403564,,0.012152612209320068,,8_gaussians,0.2168884165585041,
6000,23.45135498046875,,11.196092928683797,,UIVI,1.6502427023300847,,1,0.6041250253438458,,0.07431611232459545,,12.93990486390636,,1,115343360.0,,0.9999673974703948,,0.20044431170379984,,0.046515173029056604,,0.6,0.12131272162300893,,2,17.19149381055563,,0.1658002839526895,,1320793.7185354312,,0.13102424517273903,,0.012456191703677177,,8_gaussians,0.21779654920101166,
8000,23.45135498046875,,11.165495324733081,,UIVI,1.7447781349980604,,1,0.5477855724064095,,0.07059229165315628,,12.938089373618972,,1,115343360.0,,0.9999846318379685,,0.21805440207831964,,0.05844137194321408,,0.8,0.11394517016539873,,2,17.18888228115555,,0.163594569083266,,1310796.3838889794,,0.1320235561579466,,0.010427365079522133,,8_gaussians,0.213043212890625,
10000,23.45135498046875,,11.522819101939497,,UIVI,1.9584457979186292,,1,0.5906516290760409,,0.07441592775285244,,13.501768265244362,,1,115343360.0,,0.999975999016341,,0.3249715640715036,,0.059348916731473696,,1.0,0.10812693961677093,,2,17.125807365308972,,0.16481251881419612,,1330136.788876738,,0.130103912204504,,0.012118285521864891,,8_gaussians,0.21663812547922134,
2000,23.31854248046875,,7.494365742558871,,AISIVI,13.134765458838878,,1,2.306822583117791,,0.07325801625847816,,13.681558052252331,,1,257949696.0,,0.9828109215598955,,0.2399916358521478,,0.0030234303342245956,,0.2,0.16676661098762816,,2,19.709076177079645,,0.2315917653990343,,1385020.8399520174,,0.12494830042123795,,0.010639192536473274,,x_shaped,0.20884550921618938,
4000,23.31854248046875,,9.039704186561638,,AISIVI,9.648594563940897,,1,0.757702986044763,,0.06678513996303082,,2.3445664603293856,,1,257949696.0,,0.9239946044082328,,0.26315799854618516,,0.006158849906997876,,0.4,0.1576121867545499,,2,17.624815550929362,,0.23519557072297897,,1391588.3522012432,,0.12435861490666866,,0.010344082489609718,,x_shaped,0.2014878373593092,
6000,23.31854248046875,,3.026441322868388,,AISIVI,8.305462109738649,,1,1.1349650236278055,,0.06661869585514069,,5.630351531100278,,1,257949696.0,,0.9500234724386303,,0.25681520035802236,,0.006039920178768891,,0.6,0.1670342699747089,,2,16.66363683505938,,0.2236747185294465,,1393808.859123637,,0.12416049651801586,,0.010407768189907074,,x_shaped,0.20118696056306362,
8000,23.31854248046875,,1.8358904914736032,,AISIVI,2.3059816352044225,,1,0.38697075027428984,,0.06622608378529549,,0.5093293917580775,,1,257949696.0,,0.9390396909288011,,0.2490566568973651,,0.007758452955255584,,0.8,0.16213210340271342,,2,16.645227037232964,,0.21900725938959648,,1393183.1007369396,,0.12421626411378384,,0.010267557576298714,,x_shaped,0.20070990547537804,
