transition,acceptance_rate,window_acceptance_rate,mean_log_posterior,step_size_median,epsilon_mean_norm,epsilon_sd_mean
1400.0,0.9977499999999999,0.9960000000000001,-2.97912335395813,0.009999999776482582,0.26408398151397705,0.775403618812561
1450.0,0.9976551724137931,0.995,-2.603166341781616,0.009999999776482582,0.29940715432167053,0.8594574332237244
1500.0,0.9977333333333335,1.0,-2.8894851207733154,0.009999999776482582,0.28987982869148254,0.5286076068878174
1550.0,0.9977096774193548,0.9970000000000001,-2.7303967475891113,0.009999999776482582,0.41399431228637695,0.5143940448760986
1600.0,0.9977812500000001,1.0,-3.0164096355438232,0.009999999776482582,0.3104987144470215,0.7044047117233276
1650.0,0.9977878787878789,0.9980000000000001,-2.8571150302886963,0.009999999776482582,0.4167056083679199,0.5020107626914978
1700.0,0.9978235294117646,0.9990000000000001,-2.562185049057007,0.009999999776482582,0.49893707036972046,0.6254839897155762
1750.0,0.9978571428571428,0.9990000000000001,-3.084740400314331,0.009999999776482582,0.5527426600456238,0.7817729711532593
1800.0,0.9979166666666668,1.0,-2.8399016857147217,0.009999999776482582,0.356251060962677,0.6053711175918579
1850.0,0.997945945945946,0.9990000000000001,-2.68440842628479,0.009999999776482582,0.24465934932231903,0.5238129496574402
1900.0,0.9979210526315789,0.9969999999999999,-3.1674728393554688,0.009999999776482582,0.25980162620544434,0.8865537643432617
1950.0,0.997948717948718,0.9990000000000001,-2.495889663696289,0.009999999776482582,0.5089284777641296,0.47102195024490356
2000.0,0.99795,0.9980000000000001,-3.025209903717041,0.009999999776482582,0.4800460636615753,0.508086085319519
2050.0,0.9979268292682928,0.9970000000000001,-2.687480926513672,0.009999999776482582,0.2707056701183319,0.6105484366416931
2100.0,0.9979047619047621,0.9970000000000001,-2.8158907890319824,0.009999999776482582,0.519234299659729,0.855763852596283
2150.0,0.997860465116279,0.9960000000000001,-2.773406982421875,0.009999999776482582,0.30314183235168457,0.7751929759979248
2200.0,0.9977727272727274,0.994,-2.6544995307922363,0.009999999776482582,0.23722241818904877,0.8034151196479797
2250.0,0.9976888888888891,0.9940000000000002,-2.6852359771728516,0.009999999776482582,0.11119456589221954,0.6838662028312683
2300.0,0.9976956521739132,0.9980000000000001,-2.5133674144744873,0.009999999776482582,0.5140916109085083,0.4823262691497803
2350.0,0.9976595744680851,0.9960000000000001,-2.5980610847473145,0.009999999776482582,0.4356207847595215,0.3533792197704315
2400.0,0.9976666666666667,0.9980000000000001,-2.9940037727355957,0.009999999776482582,0.7086687684059143,0.5667331218719482
2450.0,0.9977142857142859,1.0,-2.5543391704559326,0.009999999776482582,0.49089330434799194,0.5018309950828552
2500.0,0.9977400000000002,0.9990000000000001,-2.7344748973846436,0.009999999776482582,0.31354767084121704,0.2850877344608307
2550.0,0.997686274509804,0.995,-2.9913716316223145,0.009999999776482582,0.5827153921127319,0.6629634499549866
2600.0,0.9976923076923078,0.9980000000000001,-2.89994740486145,0.009999999776482582,0.35850000381469727,0.6299192905426025
2650.0,0.997679245283019,0.9970000000000001,-2.744436025619507,0.009999999776482582,0.29509106278419495,0.514315664768219
2700.0,0.9976666666666667,0.9969999999999999,-2.784489393234253,0.009999999776482582,0.4158177077770233,0.6055202484130859
