sampler,chain,draw,epsilon_0,epsilon_1
MALA_tail,3,47,0.37275726,0.75928307
MALA_tail,3,48,0.44066390,0.81413460
MALA_tail,3,49,0.47051775,0.84051281
MALA_tail,4,0,-0.55241466,-0.48317248
MALA_tail,4,1,-0.54484332,-0.46552160
MALA_tail,4,2,-0.52520514,-0.48315746
MALA_tail,4,3,-0.50308168,-0.49113578
MALA_tail,4,4,-0.51944733,-0.50338161
MALA_tail,4,5,-0.47590840,-0.46731251
MALA_tail,4,6,-0.51279873,-0.49143234
MALA_tail,4,7,-0.53220522,-0.48033878
MALA_tail,4,8,-0.50323153,-0.48084003
MALA_tail,4,9,-0.52204436,-0.47047278
MALA_tail,4,10,-0.52800810,-0.47608203
MALA_tail,4,11,-0.54570097,-0.46240744
MALA_tail,4,12,-0.53448522,-0.46490395
MALA_tail,4,13,-0.55497223,-0.41210350
MALA_tail,4,14,-0.51881194,-0.43118259
MALA_tail,4,15,-0.53545189,-0.42134577
MALA_tail,4,16,-0.55208343,-0.47938323
MALA_tail,4,17,-0.52563608,-0.49974474
MALA_tail,4,18,-0.52019030,-0.56034672
MALA_tail,4,19,-0.56124139,-0.56132013
MALA_tail,4,20,-0.57833719,-0.60458285
MALA_tail,4,21,-0.56382978,-0.60003471
MALA_tail,4,22,-0.55847400,-0.58905798
MALA_tail,4,23,-0.54270649,-0.63036865
MALA_tail,4,24,-0.54498732,-0.63262194
MALA_tail,4,25,-0.55267811,-0.54561305
MALA_tail,4,26,-0.60191756,-0.51223189
MALA_tail,4,27,-0.58872509,-0.49034128
MALA_tail,4,28,-0.56592429,-0.50379854
MALA_tail,4,29,-0.54687941,-0.51444978
MALA_tail,4,30,-0.51198846,-0.55717015
MALA_tail,4,31,-0.53934228,-0.53287363
MALA_tail,4,32,-0.56356716,-0.54230279
MALA_tail,4,33,-0.60439885,-0.52216750
MALA_tail,4,34,-0.56923878,-0.46711496
MALA_tail,4,35,-0.56592798,-0.50155360
MALA_tail,4,36,-0.49028206,-0.51195818
MALA_tail,4,37,-0.55397332,-0.46002141
MALA_tail,4,38,-0.53633398,-0.51165754
MALA_tail,4,39,-0.50272495,-0.56374747
MALA_tail,4,40,-0.47191918,-0.55401826
MALA_tail,4,41,-0.47981727,-0.51512015
MALA_tail,4,42,-0.49675053,-0.55725038
MALA_tail,4,43,-0.49935865,-0.54838473
MALA_tail,4,44,-0.52867544,-0.52576929
MALA_tail,4,45,-0.55205858,-0.57424313
MALA_tail,4,46,-0.54745555,-0.53565788
MALA_tail,4,47,-0.52811021,-0.51357889
MALA_tail,4,48,-0.51838142,-0.55202174
MALA_tail,4,49,-0.51674300,-0.57315314
MALA_tail,5,0,1.73845792,2.10439897
MALA_tail,5,1,1.71647143,2.08844709
MALA_tail,5,2,1.70347703,2.10323453
MALA_tail,5,3,1.67473900,2.13404274
MALA_tail,5,4,1.69432843,2.07407117
MALA_tail,5,5,1.67141044,2.07025766
MALA_tail,5,6,1.72066498,2.06948662
MALA_tail,5,7,1.71410131,2.05859852
MALA_tail,5,8,1.70683610,2.02425146
MALA_tail,5,9,1.74631751,2.00718808
MALA_tail,5,10,1.77252913,1.97407293
MALA_tail,5,11,1.79039419,1.94685185
MALA_tail,5,12,1.80081093,1.97604191
MALA_tail,5,13,1.85696959,1.90726447
MALA_tail,5,14,1.91901505,1.94615233
MALA_tail,5,15,1.92418146,1.92832148
MALA_tail,5,16,1.92788959,1.94053698
MALA_tail,5,17,1.93505430,1.92687094
MALA_tail,5,18,1.95750630,1.98344600
MALA_tail,5,19,1.94165421,2.02610588
MALA_tail,5,20,1.92080212,2.03530908
MALA_tail,5,21,1.95257390,1.98518145
MALA_tail,5,22,1.95488739,2.02845502
MALA_tail,5,23,1.96958637,2.04197454
MALA_tail,5,24,1.95689023,2.04334092
MALA_tail,5,25,1.89578831,2.11898732
MALA_tail,5,26,1.88224435,2.11568975
MALA_tail,5,27,1.84667337,2.09915757
MALA_tail,5,28,1.86166489,2.13582802
MALA_tail,5,29,1.85640264,2.10331392
MALA_tail,5,30,1.85882318,2.07325745
MALA_tail,5,31,1.84678817,2.00434589
MALA_tail,5,32,1.87604427,2.01886511
MALA_tail,5,33,1.87904787,2.00419068
MALA_tail,5,34,1.91036248,1.97342765
MALA_tail,5,35,1.86771345,1.95890534
MALA_tail,5,36,1.79483020,1.93110633
MALA_tail,5,37,1.78951919,1.97011602
MALA_tail,5,38,1.78887486,1.97962689
MALA_tail,5,39,1.78637516,2.02106333
MALA_tail,5,40,1.81735992,2.04627085
MALA_tail,5,41,1.85485542,2.05661035
MALA_tail,5,42,1.86464977,2.04448795
MALA_tail,5,43,1.84657168,2.00563574
MALA_tail,5,44,1.83620739,2.00726891
MALA_tail,5,45,1.81384134,2.06923437
MALA_tail,5,46,1.86081362,2.07556486
MALA_tail,5,47,1.87254047,2.05539227
MALA_tail,5,48,1.87223923,1.99452388
MALA_tail,5,49,1.84171999,2.02701688
MALA_tail,6,0,0.51474422,0.91489249
MALA_tail,6,1,0.50466371,0.93195856
MALA_tail,6,2,0.53743047,0.89499688
