recipe_id,target,loss_label,loss_type,lr,metric_family,seeds_complete,n_seeds,status,pareto,loss_mean,loss_std,loss_count,loss_final_iter_min,loss_final_iter_max,kl_ite_mean,kl_ite_std,kl_ite_count,kl_ite_final_iter_min,kl_ite_final_iter_max,w2_mean,w2_std,w2_count,w2_final_iter_min,w2_final_iter_max,kde_expected_log_marginal_mean,kde_expected_log_marginal_std,kde_expected_log_marginal_count,kde_expected_log_marginal_final_iter_min,kde_expected_log_marginal_final_iter_max
KDVI-8_gaussians-L2_loss-lr5e-4,8_gaussians,L2_loss,paired_l2,5e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,5.637155688853992,0.2876437394256959,3,100000,100000,4.012409448623657,0.010861328625257875,3,100000,100000,,,0,,
KDVI-8_gaussians-L2_loss-lr2e-4,8_gaussians,L2_loss,paired_l2,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,5.473134126632155,0.12863111033990304,3,100000,100000,4.002187569936116,0.02528192533960935,3,100000,100000,,,0,,
KDVI-8_gaussians-L2_loss-lr1e-4,8_gaussians,L2_loss,paired_l2,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,5.84465438075498,0.4006407721840531,3,100000,100000,3.9901516437530518,0.025180793086408818,3,100000,100000,,,0,,
KDVI-8_gaussians-sliced_W2-lr2e-3,8_gaussians,sliced_W2,sliced_w2,2e-3,kl_w2,"0,1,7",3,complete,True,,,0,,,0.032493535987880226,0.003998228608852075,3,100000,100000,0.1486054410537084,0.057771617738454635,3,100000,100000,,,0,,
KDVI-8_gaussians-sliced_W2-lr1e-3,8_gaussians,sliced_W2,sliced_w2,1e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,0.37062726019383285,0.5833172925921979,3,100000,100000,0.41622039924065274,0.6060693937012112,3,100000,100000,,,0,,
KDVI-8_gaussians-sliced_W2-lr5e-4,8_gaussians,sliced_W2,sliced_w2,5e-4,kl_w2,"0,1,7",3,complete,True,,,0,,,0.06591233412933904,0.01324950391544803,3,100000,100000,0.0772162601351738,0.01152819453935365,3,100000,100000,,,0,,
KDVI-8_gaussians-sliced_W2-lr2e-4,8_gaussians,sliced_W2,sliced_w2,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.09123045071871365,0.010997320354388105,3,100000,100000,0.12515228490034738,0.015492055094882905,3,100000,100000,,,0,,
KDVI-8_gaussians-sliced_W2-lr1e-4,8_gaussians,sliced_W2,sliced_w2,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.14634657372073884,0.010706104186148355,3,100000,100000,0.09771639853715897,0.0105779432393218,3,100000,100000,,,0,,
KDVI-8_gaussians-mmd_no_detach-lr2e-3,8_gaussians,mmd_no_detach,mmd_no_detach,2e-3,kl_w2,"0,1,7",3,complete,True,,,0,,,0.01950867421200425,0.008228309669682073,3,100000,100000,0.205756147702535,0.05974685370735863,3,100000,100000,,,0,,
KDVI-8_gaussians-mmd_no_detach-lr1e-3,8_gaussians,mmd_no_detach,mmd_no_detach,1e-3,kl_w2,"0,1,7",3,complete,True,,,0,,,0.026935455859032845,0.001347572644898156,3,100000,100000,0.188209002216657,0.04594379046113631,3,100000,100000,,,0,,
KDVI-8_gaussians-mmd_no_detach-lr5e-4,8_gaussians,mmd_no_detach,mmd_no_detach,5e-4,kl_w2,"0,1,7",3,complete,True,,,0,,,0.050783476954372284,0.019268430172141547,3,100000,100000,0.11662075171868007,0.05416201434103298,3,100000,100000,,,0,,
KDVI-8_gaussians-mmd_no_detach-lr2e-4,8_gaussians,mmd_no_detach,mmd_no_detach,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.8168042146243459,0.08416928974744597,3,100000,100000,2.032487670580546,0.5417138078761454,3,100000,100000,,,0,,
KDVI-8_gaussians-mmd_no_detach-lr1e-4,8_gaussians,mmd_no_detach,mmd_no_detach,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,2.07627809357756,0.029377486681388527,3,100000,100000,3.669816017150879,0.002975407901338451,3,100000,100000,,,0,,
KDVI-student_uc-L2_loss-lr2e-3,student_uc,L2_loss,paired_l2,2e-3,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,,,,0,,
KDVI-student_uc-L2_loss-lr1e-3,student_uc,L2_loss,paired_l2,1e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,2.6674984506714865,0.07823034265613985,3,100000,100000,0.9743910233179728,0.005454394052974763,3,100000,100000,,,0,,
KDVI-student_uc-L2_loss-lr5e-4,student_uc,L2_loss,paired_l2,5e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,2.647833208805682,0.027373700327208057,3,100000,100000,0.9743905266125997,0.005453630103322952,3,100000,100000,,,0,,
KDVI-student_uc-L2_loss-lr2e-4,student_uc,L2_loss,paired_l2,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,2.635906942697375,0.044834699776908904,3,100000,100000,0.97439044713974,0.005451174469448493,3,100000,100000,,,0,,
KDVI-student_uc-L2_loss-lr1e-4,student_uc,L2_loss,paired_l2,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,2.6343522639491814,0.011119041953128598,3,100000,100000,0.9743901888529459,0.005452507372324217,3,100000,100000,,,0,,
KDVI-student_uc-sliced_W2-lr2e-3,student_uc,sliced_W2,sliced_w2,2e-3,kl_w2,"0,1,7",3,complete,True,,,0,,,0.031192865096584477,0.005155523595074246,3,100000,100000,0.5711812178293864,0.010945227781004893,3,100000,100000,,,0,,
KDVI-student_uc-sliced_W2-lr1e-3,student_uc,sliced_W2,sliced_w2,1e-3,kl_w2,"0,1,7",3,complete,True,,,0,,,0.009563774781111882,0.005195092870689983,3,100000,100000,0.5789966185887655,0.010343064691525784,3,100000,100000,,,0,,
KDVI-student_uc-sliced_W2-lr5e-4,student_uc,sliced_W2,sliced_w2,5e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.012720380526354005,0.00540575507165076,3,100000,100000,0.5877665877342224,0.0037570846416959216,3,100000,100000,,,0,,
KDVI-student_uc-sliced_W2-lr2e-4,student_uc,sliced_W2,sliced_w2,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.013358328462092787,0.01548441329703215,3,100000,100000,0.5931565165519714,0.00903435090263081,3,100000,100000,,,0,,
KDVI-student_uc-sliced_W2-lr1e-4,student_uc,sliced_W2,sliced_w2,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.026761938895807,0.00612187709100404,3,100000,100000,0.6066787441571554,0.0027094147851215917,3,100000,100000,,,0,,
KDVI-student_uc-mmd_no_detach-lr2e-3,student_uc,mmd_no_detach,mmd_no_detach,2e-3,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mmd_no_detach-lr1e-3,student_uc,mmd_no_detach,mmd_no_detach,1e-3,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mmd_no_detach-lr5e-4,student_uc,mmd_no_detach,mmd_no_detach,5e-4,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mmd_no_detach-lr2e-4,student_uc,mmd_no_detach,mmd_no_detach,2e-4,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mmd_no_detach-lr1e-4,student_uc,mmd_no_detach,mmd_no_detach,1e-4,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,,,,0,,
