chain,draw,phase,pc1,pc2,epsilon_0,epsilon_1
2,430,late,0.64267987,1.02665281,0.64267987,1.02665281
2,433,late,0.65287113,0.96581787,0.65287113,0.96581787
2,436,late,0.62003875,1.06597197,0.62003875,1.06597197
2,440,late,0.58625710,1.10925710,0.58625710,1.10925710
2,443,late,0.63239211,1.20342147,0.63239211,1.20342147
2,446,late,0.64637768,1.23105860,0.64637768,1.23105860
2,449,late,0.73722827,1.23644769,0.73722827,1.23644769
2,452,late,0.74607009,1.29849231,0.74607009,1.29849231
2,456,late,0.78711224,1.29316592,0.78711224,1.29316592
2,459,late,0.81433499,1.39241517,0.81433499,1.39241517
2,462,late,0.81788361,1.37457454,0.81788361,1.37457454
2,465,late,0.82537508,1.43342555,0.82537508,1.43342555
2,468,late,0.91087896,1.45703244,0.91087896,1.45703244
