2026-03-28 21:34:17 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 230, W2 Dist: 0.0446
2026-03-28 21:34:18 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 240, KL Divergence: 0.0083
2026-03-28 21:34:18 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 240, W2 Dist: 0.0291
2026-03-28 21:34:18 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 250, KL Divergence: 0.0168
2026-03-28 21:34:18 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 250, W2 Dist: 0.0266
2026-03-28 21:34:19 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 260, KL Divergence: 0.0088
2026-03-28 21:34:19 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 260, W2 Dist: 0.0326
2026-03-28 21:34:19 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 270, KL Divergence: 0.0138
2026-03-28 21:34:19 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 270, W2 Dist: 0.0319
2026-03-28 21:34:19 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 280, KL Divergence: 0.0017
2026-03-28 21:34:20 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 280, W2 Dist: 0.0300
2026-03-28 21:34:20 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 290, KL Divergence: -0.0045
2026-03-28 21:34:20 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 290, W2 Dist: 0.0290
2026-03-28 21:34:20 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 300, KL Divergence: 0.0050
2026-03-28 21:34:20 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 300, W2 Dist: 0.0299
2026-03-28 21:34:20 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 300, Average Reverse Model Loss: 5.6743, Avg Step Time: 0.0470s, Avg Steps: 3.0000
2026-03-28 21:34:21 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 310, KL Divergence: -0.0064
2026-03-28 21:34:21 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 310, W2 Dist: 0.0314
2026-03-28 21:34:21 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 320, KL Divergence: 0.0091
2026-03-28 21:34:21 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 320, W2 Dist: 0.0251
2026-03-28 21:34:22 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 330, KL Divergence: 0.0160
2026-03-28 21:34:22 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 330, W2 Dist: 0.0349
2026-03-28 21:34:22 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 340, KL Divergence: -0.0078
2026-03-28 21:34:22 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 340, W2 Dist: 0.0396
2026-03-28 21:34:23 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 350, KL Divergence: -0.0066
2026-03-28 21:34:23 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 350, W2 Dist: 0.0273
2026-03-28 21:34:23 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 360, KL Divergence: 0.0027
2026-03-28 21:34:23 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 360, W2 Dist: 0.0275
2026-03-28 21:34:24 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 370, KL Divergence: 0.0077
2026-03-28 21:34:24 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 370, W2 Dist: 0.0402
2026-03-28 21:34:24 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 380, KL Divergence: -0.0077
2026-03-28 21:34:24 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 380, W2 Dist: 0.0310
2026-03-28 21:34:25 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 390, KL Divergence: 0.0065
2026-03-28 21:34:25 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 390, W2 Dist: 0.0310
2026-03-28 21:34:25 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 400, KL Divergence: 0.0065
2026-03-28 21:34:25 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 400, W2 Dist: 0.0268
2026-03-28 21:34:25 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 400, Average Reverse Model Loss: 5.6726, Avg Step Time: 0.0467s, Avg Steps: 4.0000
2026-03-28 21:34:26 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 410, KL Divergence: -0.0013
2026-03-28 21:34:26 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 410, W2 Dist: 0.0271
2026-03-28 21:34:26 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 420, KL Divergence: 0.0089
2026-03-28 21:34:26 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 420, W2 Dist: 0.0336
2026-03-28 21:34:26 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 430, KL Divergence: 0.0028
2026-03-28 21:34:26 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 430, W2 Dist: 0.0286
2026-03-28 21:34:27 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 440, KL Divergence: -0.0040
2026-03-28 21:34:27 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 440, W2 Dist: 0.0303
2026-03-28 21:34:27 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 450, KL Divergence: 0.0001
2026-03-28 21:34:27 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 450, W2 Dist: 0.0333
2026-03-28 21:34:28 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 460, KL Divergence: 0.0239
2026-03-28 21:34:28 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 460, W2 Dist: 0.0265
2026-03-28 21:34:28 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 470, KL Divergence: 0.0065
2026-03-28 21:34:28 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 470, W2 Dist: 0.0302
2026-03-28 21:34:29 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 480, KL Divergence: -0.0086
2026-03-28 21:34:29 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 480, W2 Dist: 0.0296
2026-03-28 21:34:29 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 490, KL Divergence: -0.0093
2026-03-28 21:34:29 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 490, W2 Dist: 0.0251
2026-03-28 21:34:30 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 500, KL Divergence: -0.0016
2026-03-28 21:34:30 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 500, W2 Dist: 0.0399
